timestamps,TP9,AF7,AF8,TP10,Right AUX
1573890394.713,164.062,6.348,-937.988,218.750,812.012
1573890394.716,66.406,7.324,-323.730,-7.324,-270.508
1573890394.720,28.320,10.254,-1000.000,-68.848,-817.383
1573890394.724,123.047,11.230,206.055,150.879,32.227
1573890394.728,173.340,5.859,-764.648,255.371,959.473
1573890394.732,84.961,7.812,107.910,53.711,73.242
1573890394.736,18.555,19.043,-1000.000,-85.938,-814.453
1573890394.740,81.055,13.184,-168.457,82.520,-285.645
1573890394.744,153.320,7.324,-770.508,243.652,881.836
1573890394.748,97.168,13.184,390.137,105.957,424.316
1573890394.752,6.836,10.742,-1000.000,-83.496,-671.875
1573890394.756,45.898,9.277,-413.086,17.578,-524.902
1573890394.759,142.578,17.578,-908.691,228.027,631.348
1573890394.763,121.094,21.484,809.570,169.922,694.824
1573890394.767,17.578,11.719,-696.289,-56.152,-415.039
1573890394.771,17.090,7.812,-906.250,-43.945,-721.191
1573890394.775,120.605,7.324,579.590,186.035,297.363
1573890394.779,134.766,2.930,-861.816,217.773,870.605
1573890394.783,25.391,6.348,-163.086,-8.301,-217.773
1573890394.787,-14.648,9.277,-1000.000,-78.125,-875.000
1573890394.791,71.777,7.324,-33.691,120.605,-41.016
1573890394.795,123.535,4.883,-760.254,230.957,968.750
1573890394.798,50.781,11.230,220.703,63.965,215.332
1573890394.802,-21.484,13.184,-1000.000,-88.379,-744.141
1573890394.806,37.598,10.742,-224.121,54.199,-348.145
1573890394.810,124.023,13.672,-780.762,231.934,834.473
1573890394.814,83.496,8.789,438.477,116.699,491.211
1573890394.818,-7.812,4.395,-1000.000,-84.961,-679.199
1573890394.822,21.973,10.742,-484.375,-6.348,-657.715
1573890394.826,113.770,16.602,-957.520,201.660,553.711
1573890394.830,103.027,21.973,851.562,165.039,721.191
1573890394.834,7.324,21.973,-648.926,-59.082,-468.262
1573890394.838,-11.719,13.672,-972.656,-83.008,-858.887
1573890394.841,87.402,13.184,485.840,141.602,190.430
1573890394.845,123.047,24.902,-838.867,205.078,899.902
1573890394.849,32.227,28.320,-123.535,-10.254,-118.652
1573890394.853,-17.090,26.855,-1000.000,-110.840,-847.656
1573890394.857,64.453,29.785,-58.594,86.426,-157.715
1573890394.861,130.371,32.715,-763.672,221.191,930.664
1573890394.865,61.035,37.598,248.047,47.363,263.184
1573890394.869,-19.531,34.180,-1000.000,-130.859,-787.598
1573890394.873,35.645,34.668,-321.289,3.906,-455.078
1573890394.877,127.441,39.062,-822.754,200.684,765.625
1573890394.881,87.891,34.668,514.160,105.957,564.941
1573890394.884,-8.789,36.621,-1000.000,-99.121,-534.668
1573890394.888,14.648,44.922,-663.574,-36.621,-635.254
1573890394.892,116.211,50.781,882.812,183.594,467.773
1573890394.896,100.586,38.086,922.852,161.133,766.602
1573890394.900,-2.441,20.996,-553.711,-71.289,-381.348
1573890394.904,-10.742,23.438,-1000.000,-100.098,-830.078
1573890394.908,88.379,41.992,279.297,124.023,129.395
1573890394.912,124.023,41.992,-802.246,194.336,935.059
1573890394.916,31.738,32.227,15.625,-14.648,-2.441
1573890394.920,-26.367,31.250,-1000.000,-123.047,-843.262
1573890394.923,56.152,27.832,-172.852,65.430,-260.254
1573890394.927,130.371,31.738,-777.832,207.520,910.156
1573890394.931,56.152,35.645,276.367,49.316,363.281
1573890394.935,-33.691,33.203,-1000.000,-131.348,-729.980
1573890394.939,19.043,40.039,-377.930,-8.301,-501.465
1573890394.943,115.234,29.297,-857.910,189.453,694.336
1573890394.947,91.309,13.184,583.496,111.816,635.254
1573890394.951,0.000,32.227,-965.332,-92.773,-471.191
1573890394.955,10.742,49.316,-768.555,-57.617,-656.250
1573890394.959,108.398,32.715,761.230,165.039,410.156
1573890394.963,114.258,21.484,988.281,169.922,809.082
1573890394.966,6.348,26.367,-456.055,-60.059,-277.832
1573890394.970,-21.484,19.043,-1000.000,-114.258,-861.816
1573890394.974,84.961,22.949,136.719,105.957,6.348
1573890394.978,120.117,24.902,-780.273,198.730,967.285
1573890394.982,15.625,20.996,80.566,-6.348,61.035
1573890394.986,-40.527,25.879,-1000.000,-137.695,-817.383
1573890394.990,41.992,23.926,-183.105,36.133,-272.949
1573890394.994,112.793,28.320,-775.391,198.730,874.512
1573890394.998,60.547,37.109,301.270,67.383,432.617
1573890395.002,-26.855,27.832,-1000.000,-113.770,-657.227
1573890395.006,6.836,21.973,-439.941,-19.043,-548.340
1573890395.009,103.027,30.273,-902.832,185.547,632.812
1573890395.013,86.914,39.551,638.184,133.301,667.480
1573890395.017,-18.066,39.062,-893.066,-97.656,-513.184
1573890395.021,-27.832,29.785,-896.484,-87.402,-799.805
1573890395.025,85.449,31.250,604.980,146.973,295.898
1573890395.029,107.422,36.621,-976.074,169.922,849.609
1573890395.033,-2.930,36.133,-390.625,-59.082,-229.492
1573890395.037,-32.227,34.180,-1000.000,-125.488,-838.867
1573890395.041,61.523,40.039,-0.488,80.566,-24.902
1573890395.045,114.258,50.293,-773.926,188.477,959.473
1573890395.048,40.039,41.504,174.316,8.301,179.199
1573890395.052,-40.039,30.762,-1000.000,-137.695,-755.859
1573890395.056,22.949,29.785,-238.770,17.090,-335.449
1573890395.060,109.863,39.551,-787.598,199.219,829.102
1573890395.064,55.664,43.457,373.535,78.125,498.047
1573890395.068,-44.434,39.062,-1000.000,-120.605,-603.027
1573890395.072,-18.066,35.645,-597.168,-43.457,-602.539
1573890395.076,80.078,22.949,929.688,157.715,538.574
1573890395.080,75.684,24.414,837.891,122.559,723.633
1573890395.084,-28.320,25.879,-697.266,-97.168,-385.742
1573890395.088,-35.645,22.949,-978.027,-97.168,-761.719
1573890395.091,62.500,37.109,462.891,131.836,232.422
1573890395.095,88.867,47.363,-834.961,181.641,887.695
1573890395.099,3.906,34.180,-99.609,-28.809,-102.051
1573890395.103,-51.270,26.367,-1000.000,-125.977,-813.477
1573890395.107,29.297,27.344,-72.754,61.035,-136.230
1573890395.111,98.145,29.785,-766.113,190.918,947.266
1573890395.115,20.508,29.785,204.590,20.508,268.066
1573890395.119,-57.617,18.555,-1000.000,-142.090,-741.211
1573890395.123,6.348,16.113,-271.973,3.906,-436.523
1573890395.127,85.449,25.879,-802.734,190.430,763.672
1573890395.131,41.504,22.949,477.051,83.496,536.621
1573890395.134,-45.898,23.926,-1000.000,-123.047,-589.355
1573890395.138,-17.578,33.203,-563.965,-56.641,-615.723
1573890395.142,86.426,30.762,978.516,167.969,501.465
1573890395.146,84.473,25.879,876.953,155.762,789.062
1573890395.150,-15.137,25.391,-602.539,-69.824,-288.574
1573890395.154,-22.949,20.508,-1000.000,-99.609,-765.137
1573890395.158,84.961,20.996,323.242,124.512,150.391
1573890395.162,124.512,29.297,-825.684,193.848,908.203
1573890395.166,38.574,34.180,-78.125,-11.719,-7.812
1573890395.170,-19.043,32.715,-1000.000,-119.629,-820.801
1573890395.173,55.664,32.715,-119.141,65.918,-235.840
1573890395.177,124.023,37.109,-771.973,202.148,920.898
1573890395.181,54.199,30.762,264.160,44.434,295.410
1573890395.185,-33.691,16.602,-1000.000,-120.605,-742.676
1573890395.189,15.137,18.555,-360.840,-7.324,-480.957
1573890395.193,107.422,31.250,-842.285,188.965,698.242
1573890395.197,79.590,40.527,527.344,113.770,595.215
1573890395.201,-20.020,41.504,-990.723,-103.027,-555.176
1573890395.205,-14.160,39.551,-822.266,-60.059,-714.355
1573890395.209,90.820,43.945,674.805,164.062,378.906
1573890395.213,102.051,44.922,-988.770,165.527,810.059
1573890395.216,-18.066,33.203,-419.922,-66.895,-276.367
1573890395.220,-51.270,22.949,-1000.000,-122.559,-812.012
