timestamps,TP9,AF7,AF8,TP10,Right AUX
1574211221.389,18.066,32.227,-15.137,7.812,87.402
1574211221.393,-0.488,30.762,-435.059,-4.883,-228.516
1574211221.397,19.043,19.531,-0.488,7.324,-123.047
1574211221.401,39.551,13.184,480.957,22.461,264.160
1574211221.405,29.785,21.973,138.184,14.648,192.871
1574211221.409,7.324,32.227,-427.734,-4.395,-144.531
1574211221.413,16.602,29.297,-232.910,6.348,-197.754
1574211221.416,47.363,22.461,416.504,29.297,180.176
1574211221.420,49.316,25.391,313.965,31.738,274.414
1574211221.424,18.555,35.156,-470.215,7.812,-115.234
1574211221.428,2.930,29.297,-386.719,0.977,-234.863
1574211221.432,35.645,17.578,405.273,29.297,85.449
1574211221.436,53.711,19.043,418.457,39.551,327.148
1574211221.440,25.879,23.926,-208.496,22.461,0.000
1574211221.444,12.695,26.367,-354.492,15.137,-249.512
1574211221.448,43.457,22.949,193.359,39.551,-14.648
1574211221.452,65.918,21.973,457.031,60.059,337.402
1574211221.456,45.410,34.668,-72.266,41.992,103.027
1574211221.459,24.902,40.527,-464.355,22.461,-264.648
1574211221.463,39.551,35.156,12.207,33.203,-113.281
1574211221.467,58.594,36.133,455.078,51.758,260.742
1574211221.471,55.664,42.969,155.273,45.410,181.641
1574211221.475,24.902,44.922,-282.227,19.531,-130.859
1574211221.479,13.672,35.645,-75.684,13.672,-112.793
1574211221.483,49.805,28.809,319.824,40.039,193.848
1574211221.487,52.734,39.551,208.496,39.551,259.766
1574211221.491,22.461,44.922,-175.781,12.207,-30.762
1574211221.495,11.230,36.621,-286.133,5.371,-174.805
1574211221.498,32.227,26.855,255.859,24.902,75.684
1574211221.502,50.781,29.297,455.078,35.156,339.844
1574211221.506,23.926,41.504,-128.418,12.207,21.973
1574211221.510,3.906,45.898,-419.434,0.977,-284.180
1574211221.514,20.996,37.598,2.441,10.742,-103.516
1574211221.518,29.297,28.320,455.566,19.531,283.691
1574211221.522,11.719,29.785,156.738,15.625,113.770
1574211221.526,-8.789,33.691,-392.090,-6.348,-244.629
1574211221.530,-0.977,24.414,-100.586,-0.488,-177.246
1574211221.534,31.250,14.160,496.094,29.785,223.145
1574211221.538,31.250,22.949,263.672,26.367,203.613
1574211221.541,0.000,33.203,-374.512,3.418,-213.379
1574211221.545,-2.441,25.391,-249.023,1.953,-264.648
1574211221.549,24.902,19.043,328.613,20.508,102.051
1574211221.553,31.738,21.973,336.426,23.438,268.555
1574211221.557,8.301,24.414,-291.504,-1.953,-67.871
1574211221.561,-8.789,24.414,-393.555,-11.719,-248.535
1574211221.565,17.578,18.066,315.430,18.555,21.973
1574211221.569,40.527,14.648,540.039,41.016,319.336
1574211221.573,17.578,26.855,-116.211,25.879,51.758
1574211221.577,-3.906,31.250,-425.293,5.859,-203.613
1574211221.581,18.066,19.043,155.273,25.879,-49.316
1574211221.584,44.922,17.578,545.898,53.223,318.359
1574211221.588,31.250,30.273,139.160,48.340,195.801
1574211221.592,8.301,34.180,-354.980,29.785,-173.828
1574211221.596,25.391,26.367,-121.582,38.574,-136.719
1574211221.600,58.594,22.461,413.574,67.871,226.074
1574211221.604,58.105,30.762,167.969,63.965,247.559
1574211221.608,24.414,34.668,-381.836,35.645,-83.008
1574211221.612,19.531,33.691,-167.969,34.668,-212.891
1574211221.616,48.828,33.203,351.562,58.594,72.266
1574211221.620,59.570,29.297,363.281,69.824,280.273
1574211221.623,40.527,34.180,-163.086,49.805,-63.965
1574211221.627,29.785,40.039,-309.082,35.156,-270.508
1574211221.631,54.199,32.715,166.992,55.176,-23.438
1574211221.635,66.895,33.203,427.246,65.918,296.387
1574211221.639,39.551,43.945,14.160,41.992,82.520
1574211221.643,21.484,48.828,-392.578,26.855,-220.215
1574211221.647,41.016,44.434,-84.961,40.527,-121.094
1574211221.651,56.641,36.621,380.371,48.340,255.859
1574211221.655,39.062,37.109,225.586,34.180,185.547
1574211221.659,9.766,45.410,-274.414,10.742,-184.570
1574211221.663,10.254,34.180,-137.207,9.766,-159.668
1574211221.666,35.156,22.461,420.898,29.785,222.168
1574211221.670,28.320,27.832,368.652,28.320,301.758
1574211221.674,1.953,35.156,-275.879,5.859,-117.676
1574211221.678,1.953,35.156,-329.590,0.488,-275.879
1574211221.682,29.785,25.879,303.711,21.973,80.078
1574211221.686,41.016,23.438,435.059,32.227,314.453
1574211221.690,13.672,39.062,-182.617,12.695,20.508
1574211221.694,0.000,39.062,-547.852,-1.953,-246.094
1574211221.698,28.320,23.926,57.129,9.766,-39.062
1574211221.702,41.016,23.438,562.012,29.785,323.242
1574211221.706,23.926,33.691,42.480,22.461,120.605
1574211221.709,0.977,38.086,-428.223,1.953,-209.473
1574211221.713,3.906,21.973,-0.977,10.742,-131.348
1574211221.717,35.156,11.719,495.117,32.227,260.742
1574211221.721,38.086,20.996,151.855,27.832,243.164
1574211221.725,6.348,27.832,-390.625,9.277,-155.762
1574211221.729,1.953,30.762,-190.430,6.348,-256.836
1574211221.733,37.598,27.832,411.133,31.738,158.203
1574211221.737,53.223,28.320,230.957,48.340,277.832
1574211221.741,22.461,40.039,-363.770,23.438,-107.422
1574211221.745,5.371,41.016,-243.164,13.672,-239.258
1574211221.748,46.387,32.227,344.727,38.086,63.965
1574211221.752,70.312,32.227,434.570,51.758,348.145
1574211221.756,36.621,37.598,-120.605,33.691,24.902
1574211221.760,14.648,35.156,-349.609,20.020,-261.719
1574211221.764,44.434,24.902,131.348,42.480,-52.246
1574211221.768,74.707,23.926,487.793,61.035,293.457
1574211221.772,60.059,36.133,103.516,51.758,137.207
1574211221.776,29.785,43.945,-358.398,36.621,-193.359
1574211221.780,34.180,34.180,-39.062,41.992,-125.488
1574211221.784,69.336,29.297,460.449,62.988,258.789
1574211221.788,70.312,41.504,196.289,59.570,223.633
1574211221.791,40.039,44.922,-278.320,36.621,-151.855
1574211221.795,38.574,41.016,-157.715,41.504,-217.773
1574211221.799,64.941,34.180,260.254,65.918,100.098
1574211221.803,65.918,28.809,355.957,59.082,286.621
1574211221.807,37.109,39.062,-61.523,37.109,-31.250
1574211221.811,25.391,37.109,-294.922,34.668,-226.562
1574211221.815,49.316,20.996,219.238,50.781,21.973
1574211221.819,66.406,22.949,547.852,59.570,344.727
1574211221.823,40.039,38.574,42.969,36.133,92.773
1574211221.827,5.859,44.922,-379.883,8.789,-237.793
1574211221.831,28.320,37.598,5.371,26.855,-97.656
