timestamps,TP9,AF7,AF8,TP10,Right AUX
1573889726,56.152,23.926,603.027,61.523,141.113
1573889726,47.852,23.926,457.52,41.504,156.738
1573889726,31.738,21.973,-258.301,14.648,-13.184
1573889726,28.32,19.043,-218.75,22.461,-63.965
1573889726,46.387,28.32,458.984,52.734,82.52
1573889726,54.688,29.785,344.238,59.57,149.414
1573889726,40.527,20.02,-564.453,35.645,0.488
1573889726,30.273,14.16,-801.758,21.973,-110.84
1573889726,44.434,15.137,19.531,48.34,15.625
1573889726,56.641,24.414,542.48,61.523,200.195
1573889726,44.922,26.855,62.5,31.738,119.141
1573889726,32.227,20.508,-359.863,16.602,-63.965
1573889726,38.086,20.508,199.219,39.062,0.977
1573889726,47.363,26.367,689.941,56.152,193.848
1573889726,34.668,24.902,160.156,34.668,127.93
1573889726,21.973,15.625,-421.387,13.184,-66.895
1573889726,25.391,14.16,-83.008,23.926,-65.918
1573889726,36.133,15.625,390.137,40.039,122.559
1573889726,37.598,20.508,-160.156,24.902,132.812
1573889726,21.973,33.691,-744.141,0.488,-57.129
1573889726,22.949,30.762,-324.219,9.277,-111.328
1573889726,32.227,15.137,355.469,29.297,73.242
1573889726,28.32,10.742,329.102,24.902,185.547
1573889726,18.555,11.719,-375,1.953,9.277
1573889726,22.949,13.672,-508.789,2.93,-132.324
1573889726,41.992,14.16,149.902,31.25,12.207
1573889726,48.828,13.672,452.637,38.574,173.828
1573889727,39.551,9.766,0.488,17.578,76.66
1573889727,40.527,10.742,-351.074,12.207,-83.496
1573889727,52.734,15.137,-155.762,34.18,-34.18
1573889727,62.5,19.531,174.805,53.711,142.578
1573889727,57.617,16.602,88.379,47.363,112.305
1573889727,42.48,10.742,-361.328,25.879,-73.242
1573889727,41.504,9.766,-308.594,33.691,-95.703
1573889727,55.664,19.043,250.488,62.012,79.59
1573889727,55.176,28.809,371.582,55.664,156.25
1573889727,36.621,20.508,-212.402,25.879,-8.301
1573889727,29.785,11.23,-428.711,21.973,-122.559
1573889727,38.086,17.09,219.238,43.457,47.363
1573889727,42.48,18.555,556.641,41.016,190.918
1573889727,28.809,11.23,-99.609,8.789,35.156
1573889727,14.648,9.766,-596.191,-2.93,-132.324
1573889727,26.855,15.625,-136.719,23.438,-20.02
1573889727,36.621,20.02,453.125,34.18,181.152
1573889727,27.344,19.531,23.438,10.742,100.098
1573889727,15.625,14.648,-682.129,-9.766,-105.469
1573889727,17.09,14.16,-175.781,3.906,-49.316
1573889727,34.18,21.484,614.746,31.738,160.156
1573889727,38.086,25.879,191.406,23.438,136.23
1573889727,18.555,19.531,-639.16,-9.277,-46.387
1573889727,13.672,11.719,-286.133,-5.859,-75.195
1573889727,30.273,13.672,462.891,27.832,104.492
1573889727,34.668,12.695,216.797,27.344,138.184
1573889727,25.879,4.883,-538.086,2.93,-39.551
1573889727,20.996,4.883,-608.398,5.371,-113.77
1573889727,38.574,9.766,164.062,38.574,40.039
1573889727,51.758,17.578,291.504,47.852,164.062
1573889727,34.18,23.438,-499.023,17.578,24.902
1573889727,25.391,13.184,-507.812,6.836,-106.445
1573889727,38.086,5.859,200.684,32.227,-11.23
1573889727,41.992,11.719,574.707,45.898,178.223
1573889727,34.18,11.719,131.836,23.926,111.816
1573889727,26.855,7.324,-291.992,5.859,-60.547
1573889727,31.25,8.301,61.523,20.508,-22.461
1573889727,46.387,18.066,539.551,43.945,149.902
1573889727,40.039,22.461,159.18,29.297,133.789
1573889727,25.879,20.508,-622.07,6.348,-96.191
1573889727,28.32,21.973,-533.203,17.09,-137.695
1573889727,43.945,22.949,-0.488,35.645,67.871
1573889727,48.34,20.996,147.949,33.691,154.297
1573889727,31.25,15.137,-153.809,9.766,-0.488
1573889727,22.461,9.277,-317.871,2.93,-100.098
1573889727,30.273,8.789,288.086,26.855,44.922
1573889727,38.574,10.742,707.031,37.598,185.547
1573889727,36.621,10.742,220.703,18.555,75.195
1573889727,21.484,14.648,-210.449,2.441,-76.172
1573889727,23.438,20.508,181.641,20.02,-17.578
1573889727,35.645,22.461,622.559,37.598,159.668
1573889727,27.832,26.855,197.754,17.09,92.285
1573889727,17.578,25.391,-526.855,-1.953,-117.676
1573889727,28.809,22.461,-259.277,21.484,-89.355
1573889727,48.34,15.625,596.68,54.688,108.398
1573889727,43.457,9.766,674.805,44.434,138.184
