timestamps,TP9,AF7,AF8,TP10,Right AUX
1573889166,-0.488,92.285,-543.945,4.395,-109.863
1573889166,25.879,104.492,-298.34,41.504,18.066
1573889166,36.133,111.328,-635.254,42.969,86.914
1573889166,17.09,109.863,-931.152,5.371,-35.156
1573889166,2.93,109.863,-672.852,1.953,-133.789
1573889166,21.484,111.328,-412.109,41.992,-5.859
1573889166,41.016,107.91,-767.578,50.293,104.98
1573889166,15.625,105.957,-1000,14.16,0.488
1573889166,-0.488,110.84,-803.223,-0.488,-130.859
1573889166,18.066,119.141,-443.359,28.32,-69.824
1573889166,32.715,120.117,-347.656,47.852,102.539
1573889166,22.949,116.699,-697.266,31.25,79.59
1573889166,-2.93,121.582,-953.613,3.418,-103.516
1573889166,-4.883,133.301,-672.852,7.812,-117.676
1573889166,19.531,142.09,-365.234,43.457,65.43
1573889166,26.855,132.324,-523.438,33.203,128.418
1573889166,-0.488,119.629,-822.754,-7.812,-33.691
1573889166,-9.766,121.094,-752.441,2.93,-123.047
1573889166,17.09,117.676,-541.504,40.039,14.648
1573889166,24.414,104.492,-625,41.992,116.211
1573889166,0.977,105.957,-879.395,3.906,5.859
1573889166,-7.812,116.211,-991.211,-3.906,-172.852
1573889166,4.395,122.559,-749.512,27.344,-83.008
1573889166,16.602,117.676,-470.703,41.016,125.488
1573889166,7.812,98.633,-749.023,16.113,56.152
1573889166,-12.695,96.68,-885.742,-9.766,-118.652
1573889166,-9.277,103.516,-457.52,6.348,-77.637
1573889166,14.16,92.285,-154.297,30.762,96.68
1573889166,18.555,71.289,-533.691,18.066,80.078
1573889166,-2.93,64.941,-952.637,-11.719,-122.07
1573889166,-8.789,75.684,-637.695,-3.906,-147.949
1573889166,15.625,75.684,-88.867,26.367,53.223
1573889166,30.762,53.711,-407.715,22.461,94.238
1573889166,3.906,38.574,-969.238,-10.742,-87.891
1573889166,-28.32,41.016,-513.672,-18.066,-146.484
1573889166,-7.812,39.551,111.328,12.207,26.367
1573889166,26.855,39.062,-146.973,23.926,120.117
1573889166,11.719,36.621,-721.191,0,-41.504
1573889166,-26.367,32.715,-559.082,-21.973,-168.945
1573889166,-20.02,37.109,-34.668,2.441,-48.34
1573889166,14.16,35.645,-139.16,33.203,101.562
1573889166,2.93,37.598,-727.539,9.766,33.691
1573889166,-24.414,53.711,-804.688,-18.066,-109.375
1573889166,-18.555,56.152,-279.785,11.23,-78.125
1573889166,18.066,36.133,-382.324,42.969,47.363
1573889166,21.973,26.855,-888.184,24.902,38.086
1573889166,-9.766,35.645,-733.887,-8.789,-98.633
1573889166,-10.742,38.574,-339.844,4.883,-133.789
1573889166,7.324,36.133,-180.176,39.551,0.488
1573889166,15.625,36.133,-386.719,30.273,83.496
1573889166,6.836,27.344,-640.137,-5.859,-39.551
1573889166,-8.789,22.949,-505.859,-4.883,-133.301
1573889166,6.348,29.297,-184.57,38.086,-18.555
1573889166,25.879,26.855,-327.637,47.363,122.07
1573889166,12.207,20.996,-801.758,15.625,19.043
1573889166,1.953,27.344,-947.754,2.441,-169.922
1573889166,11.23,38.574,-679.199,28.809,-88.867
1573889166,28.809,35.645,-383.789,48.828,80.566
1573889166,27.344,29.297,-598.633,24.902,29.785
1573889166,4.395,29.297,-842.285,-1.953,-139.648
1573889166,8.301,41.992,-461.426,21.484,-121.582
1573889166,33.203,54.688,-106.445,61.523,55.664
1573889166,35.156,45.898,-393.066,45.898,99.121
1573889166,8.301,34.668,-779.297,7.812,-69.824
1573889166,1.953,33.691,-501.953,15.137,-121.094
1573889166,30.762,42.48,-191.406,53.223,30.762
1573889166,39.062,48.34,-503.418,49.805,121.094
1573889166,19.531,41.992,-944.336,8.301,-28.32
1573889166,0,41.992,-774.414,-4.883,-155.762
1573889166,5.859,53.223,-146.484,28.32,8.301
1573889166,29.785,50.781,-310.547,49.316,113.77
1573889166,17.578,40.527,-869.141,15.137,-13.184
1573889166,-8.789,46.387,-714.844,-10.254,-130.371
1573889166,0.488,55.176,-136.719,21.484,-43.457
1573889166,24.414,53.223,-185.547,47.363,92.285
1573889166,11.719,55.664,-708.984,21.484,51.758
1573889166,-15.625,63.477,-887.207,-1.465,-118.652
1573889166,-9.766,70.801,-625.977,21.973,-127.441
1573889166,13.672,71.289,-500.977,49.805,56.152
1573889166,21.973,64.453,-892.578,38.574,72.266
1573889166,-1.953,68.359,-950.195,7.324,-63.965
