timestamps,TP9,AF7,AF8,TP10,Right AUX
1573889572.692,24.902,10.742,-336.914,6.836,-59.570
1573889572.696,29.785,15.625,-109.863,21.484,-91.309
1573889572.700,37.598,18.555,354.004,38.574,97.168
1573889572.704,30.273,18.066,221.680,33.203,145.996
1573889572.708,14.648,19.531,-251.953,17.090,-33.691
1573889572.712,5.371,15.137,-258.789,16.113,-97.656
1573889572.715,14.160,17.578,69.336,34.668,48.340
1573889572.719,16.113,22.461,135.254,34.668,163.574
1573889572.723,2.930,14.160,-394.531,8.789,49.805
1573889572.727,-1.953,7.324,-605.957,2.441,-115.723
1573889572.731,12.695,10.254,191.895,27.344,9.277
1573889572.735,29.297,13.184,407.715,45.410,157.715
1573889572.739,21.484,16.602,-178.223,24.414,49.805
1573889572.743,7.812,14.160,-461.914,0.977,-125.488
1573889572.747,20.508,19.043,48.828,21.973,-62.012
1573889572.751,37.598,23.438,354.004,42.969,125.488
1573889572.755,26.855,18.066,-20.996,23.438,101.074
1573889572.758,11.719,21.973,-381.836,-0.488,-70.801
1573889572.762,11.719,24.902,-159.180,7.812,-71.777
1573889572.766,35.156,19.531,262.695,42.480,113.281
1573889572.770,46.387,12.695,-186.523,41.504,122.559
1573889572.774,18.066,14.648,-498.535,3.906,-40.527
1573889572.778,8.789,17.090,-34.180,2.441,-82.520
1573889572.782,22.949,21.484,291.504,25.391,40.527
1573889572.786,28.809,24.414,227.539,27.344,145.996
1573889572.790,16.602,18.066,-5.371,3.418,57.617
1573889572.794,5.859,17.090,-28.320,-6.836,-71.289
1573889572.798,15.137,18.066,214.355,12.695,5.371
1573889572.801,25.879,17.090,306.152,24.414,148.438
1573889572.805,17.578,29.297,-83.984,3.906,106.445
1573889572.809,0.000,30.762,-271.973,-14.160,-23.926
1573889572.813,8.789,15.137,-204.102,-0.488,-61.523
1573889572.817,23.926,10.742,-147.949,13.184,85.449
1573889572.821,18.066,9.277,4.883,7.324,126.953
1573889572.825,5.859,7.812,-174.316,-8.789,-33.203
1573889572.829,8.789,20.508,-92.773,0.000,-78.125
1573889572.833,30.762,33.691,309.570,29.297,74.707
1573889572.837,27.832,28.809,322.266,25.879,161.621
1573889572.840,6.348,31.250,-125.977,1.465,5.859
1573889572.844,4.395,35.156,-175.781,0.977,-100.586
1573889572.848,20.020,24.414,287.598,24.414,27.832
1573889572.852,28.320,18.066,235.840,32.715,144.043
1573889572.856,15.625,15.625,-352.051,11.230,36.133
1573889572.860,5.371,19.043,-639.160,-0.488,-106.445
1573889572.864,19.531,32.227,-64.941,22.949,-37.598
1573889572.868,38.086,36.133,431.152,42.480,124.023
1573889572.872,27.344,26.855,9.766,23.926,63.477
1573889572.876,10.254,15.625,-232.422,6.348,-85.938
1573889572.880,16.602,12.207,281.250,22.949,-34.180
1573889572.883,35.156,19.531,669.922,44.434,145.996
1573889572.887,30.273,22.461,291.016,33.203,131.348
1573889572.891,13.672,23.926,-105.469,8.789,-35.645
1573889572.895,12.695,27.344,197.754,11.719,-71.777
1573889572.899,29.297,26.855,401.855,33.203,52.734
1573889572.903,46.875,27.344,156.738,44.434,145.020
1573889572.907,29.785,26.367,-69.824,19.043,13.184
1573889572.911,-9.277,25.391,10.742,-17.578,-105.469
1573889572.915,-16.602,29.785,385.254,-15.625,20.996
1573889572.919,-12.695,34.668,284.668,-12.207,143.555
1573889572.923,-35.645,34.180,-60.059,-41.504,66.895
1573889572.926,-59.570,32.715,106.934,-62.012,-66.406
1573889572.930,-65.918,30.762,427.246,-56.641,-35.645
1573889572.934,-71.289,31.250,400.879,-53.711,123.047
1573889572.938,-84.473,40.039,120.605,-78.613,90.820
1573889572.942,-105.469,47.363,23.438,-105.469,-93.262
1573889572.946,-115.234,46.875,142.090,-104.980,-68.848
1573889572.950,-109.863,50.293,265.625,-97.168,95.703
1573889572.954,-115.234,53.223,251.465,-107.422,124.512
1573889572.958,-134.277,55.176,87.402,-128.418,-22.461
1573889572.962,-141.602,57.129,83.008,-129.395,-100.098
1573889572.965,-135.254,58.105,120.117,-121.094,22.949
1573889572.969,-137.207,63.477,99.609,-127.930,124.023
1573889572.973,-147.949,60.059,85.938,-148.438,53.711
1573889572.977,-155.762,53.711,-68.848,-155.273,-86.426
1573889572.981,-144.531,59.570,121.582,-136.719,-7.812
1573889572.985,-132.324,64.941,501.465,-125.977,170.410
1573889572.989,-146.484,62.012,192.383,-145.508,87.402
1573889572.993,-150.879,61.035,-192.871,-157.715,-88.379
1573889572.997,-132.324,62.988,27.344,-133.789,-30.762
1573889573.001,-117.676,62.500,398.926,-114.258,139.160
1573889573.005,-119.141,60.059,137.695,-123.047,89.355
1573889573.008,-129.883,62.012,-375.977,-140.625,-90.332
1573889573.012,-127.930,64.453,-111.328,-127.930,-72.754
1573889573.016,-112.305,63.477,501.465,-104.980,128.418
1573889573.020,-102.539,63.965,296.875,-108.887,161.133
1573889573.024,-114.746,61.035,-379.883,-127.441,-18.066
1573889573.028,-114.746,54.688,-222.656,-119.629,-72.266
1573889573.032,-99.609,50.781,394.043,-92.773,72.754
1573889573.036,-93.262,51.758,268.066,-89.844,165.039
1573889573.040,-97.168,49.805,-307.617,-111.328,65.430
1573889573.044,-107.910,50.781,-373.047,-119.629,-60.059
1573889573.048,-99.121,50.781,168.457,-95.215,12.207
1573889573.051,-80.566,45.898,194.824,-71.777,141.602
1573889573.055,-80.078,44.922,-325.195,-81.055,80.566
1573889573.059,-89.844,42.480,-391.113,-97.168,-84.473
1573889573.063,-86.426,41.016,58.594,-81.055,-54.199
1573889573.067,-78.613,37.109,176.758,-67.383,121.094
1573889573.071,-79.590,33.691,-439.453,-82.031,84.473
1573889573.075,-80.566,41.992,-585.938,-88.379,-101.562
1573889573.079,-77.637,45.410,-206.543,-76.172,-121.094
1573889573.083,-61.523,35.645,75.195,-59.570,61.035
1573889573.087,-52.246,34.668,-48.340,-53.711,150.879
1573889573.090,-56.641,34.180,-400.879,-66.406,-1.465
1573889573.094,-62.500,31.250,-249.512,-71.289,-113.281
1573889573.098,-53.711,36.133,173.340,-49.805,26.855
1573889573.102,-36.621,41.992,190.918,-37.598,137.695
1573889573.106,-42.969,36.133,-34.180,-50.781,49.805
1573889573.110,-49.805,21.484,-77.637,-54.199,-79.102
1573889573.114,-35.645,21.484,0.000,-36.621,-6.836
1573889573.118,-28.320,33.691,77.148,-29.785,135.742
1573889573.122,-44.434,33.691,-6.348,-51.758,69.824
1573889573.126,-54.199,32.715,-208.008,-65.918,-73.242
1573889573.130,-44.922,36.133,-13.672,-45.898,-47.852
1573889573.133,-41.992,31.738,237.793,-36.133,115.723
1573889573.137,-41.504,37.109,5.371,-42.480,126.953
1573889573.141,-37.109,37.598,-470.215,-42.969,-66.406
1573889573.145,-31.738,37.109,-483.887,-32.227,-113.281
1573889573.149,-28.320,45.898,179.199,-19.043,75.195
1573889573.153,-17.578,43.457,439.453,-18.555,178.223
1573889573.157,-24.902,39.062,-80.078,-34.180,10.742
1573889573.161,-41.992,37.109,-98.633,-42.480,-90.332
1573889573.165,-36.133,35.156,439.453,-28.809,33.203
1573889573.169,-25.879,37.109,490.234,-19.531,154.785
1573889573.173,-34.668,40.039,11.719,-39.551,59.082
1573889573.176,-47.852,41.992,-169.922,-55.664,-113.281
1573889573.180,-47.852,42.969,64.941,-40.527,-71.777
1573889573.184,-32.715,45.410,282.715,-26.855,117.188
1573889573.188,-28.320,45.410,-131.348,-38.086,95.703
1573889573.192,-41.016,34.180,-604.980,-56.152,-84.961
1573889573.196,-36.621,28.320,-80.566,-41.504,-82.520
1573889573.200,-13.184,34.180,403.320,-9.277,88.379
1573889573.204,-10.254,43.945,157.715,-14.160,115.723
1573889573.208,-26.367,38.086,-167.969,-41.016,-58.594
1573889573.212,-24.414,27.832,73.730,-28.809,-112.793
1573889573.215,-4.395,24.414,443.359,1.465,59.082
1573889573.219,8.789,29.785,246.094,7.324,137.695
1573889573.223,-0.977,37.109,-124.512,-11.719,-9.766
1573889573.227,0.488,39.551,-179.199,-7.812,-119.629
1573889573.231,20.996,33.691,58.105,23.438,-9.277
1573889573.235,24.414,25.879,17.090,24.902,145.020
1573889573.239,14.648,28.320,-199.219,6.836,58.105
1573889573.243,4.883,28.320,-83.008,0.000,-92.773
1573889573.247,12.207,21.973,233.887,15.625,-24.902
1573889573.251,31.250,27.344,269.043,32.715,108.887
1573889573.255,34.180,39.551,6.348,25.391,73.242
1573889573.258,10.254,30.762,-134.766,0.000,-66.406
1573889573.262,4.883,22.461,76.172,2.930,-65.918
1573889573.266,22.461,22.949,382.324,22.949,98.633
1573889573.270,27.344,22.949,307.129,18.066,168.457
1573889573.274,14.648,24.902,-174.805,-4.395,-2.441
1573889573.278,5.859,23.926,-472.168,-8.789,-125.488
1573889573.282,18.066,30.273,-191.895,14.160,-1.465
1573889573.286,24.902,35.156,202.637,20.996,149.902
1573889573.290,17.578,33.691,-80.078,10.254,19.043
1573889573.294,3.906,22.461,-268.555,2.441,-129.883
1573889573.298,8.789,9.766,185.059,18.066,-8.789
1573889573.301,30.273,11.719,432.129,41.504,155.273
1573889573.305,32.227,20.508,-18.555,30.273,69.824
1573889573.309,19.043,23.438,-391.602,8.789,-119.629
1573889573.313,31.250,26.367,12.695,28.809,-67.383
1573889573.317,53.711,31.738,489.746,56.152,151.855
1573889573.321,46.875,19.531,31.250,40.527,136.230
1573889573.325,35.156,15.137,-701.172,19.043,-62.012
1573889573.329,41.016,20.020,-367.676,26.855,-104.492
1573889573.333,51.758,17.578,336.426,47.363,81.543
1573889573.337,54.688,23.926,192.871,48.340,164.062
1573889573.340,41.992,32.715,-356.934,21.973,-11.230
1573889573.344,33.691,22.461,-208.008,20.508,-100.586
1573889573.348,43.457,10.254,319.824,50.293,37.598
1573889573.352,46.387,13.672,230.957,53.223,143.555
1573889573.356,26.855,13.184,-227.539,26.367,23.438
1573889573.360,10.254,10.254,-205.078,14.160,-100.098
1573889573.364,22.949,19.531,146.973,37.109,-3.906
1573889573.368,29.297,25.391,183.105,45.898,154.297
1573889573.372,12.207,18.066,-278.809,19.043,72.266
1573889573.376,4.395,13.672,-394.531,10.254,-81.055
1573889573.380,16.602,18.555,157.227,27.832,-24.902
1573889573.383,30.762,18.555,101.562,38.086,104.492
1573889573.387,20.508,12.695,-268.066,20.020,138.672
1573889573.391,-4.395,7.812,-230.469,-5.859,-7.812
1573889573.395,-10.254,8.301,-47.363,-2.441,-79.102
1573889573.399,9.277,16.113,229.004,24.414,76.172
1573889573.403,25.879,25.391,187.500,34.180,154.785
1573889573.407,8.789,20.020,-123.047,7.324,6.836
1573889573.411,-5.371,18.066,-147.949,-4.883,-100.586
1573889573.415,8.301,22.461,108.887,14.160,29.785
1573889573.419,19.531,23.926,94.238,17.578,162.598
1573889573.423,19.043,33.691,-227.539,-0.977,68.359
1573889573.426,15.625,37.109,-354.492,-7.812,-94.238
1573889573.430,26.367,32.715,-298.340,12.695,-53.711
1573889573.434,42.480,26.855,58.105,35.156,131.836
1573889573.438,35.156,26.855,85.449,19.043,108.398
1573889573.442,17.578,32.715,-296.875,-8.301,-76.660
1573889573.446,17.090,33.691,0.977,0.488,-45.410
1573889573.450,31.738,31.250,483.398,26.367,142.578
1573889573.454,34.180,26.367,309.082,20.020,177.734
1573889573.458,21.484,16.602,-188.965,5.371,-8.789
1573889573.462,31.250,12.207,-198.242,22.461,-75.195
1573889573.465,39.062,26.855,145.996,31.250,83.496
1573889573.469,25.391,32.715,141.602,12.695,159.180
1573889573.473,19.043,26.367,-427.246,-6.348,17.578
1573889573.477,20.020,33.691,-652.344,-1.953,-110.352
1573889573.481,31.738,37.109,131.348,27.832,20.508
1573889573.485,41.504,27.344,415.039,39.062,167.480
1573889573.489,30.273,16.602,-75.195,17.090,79.102
1573889573.493,15.625,20.020,-144.043,2.441,-47.363
1573889573.497,11.230,22.461,302.734,10.254,-13.672
1573889573.501,26.367,21.973,462.402,28.320,131.836
1573889573.505,32.715,23.438,55.176,25.879,82.031
1573889573.508,13.672,16.113,-396.973,5.859,-125.488
1573889573.512,1.465,15.137,-84.961,6.836,-101.074
1573889573.516,16.602,15.625,365.234,31.738,77.148
1573889573.520,27.832,12.207,-93.262,32.227,107.422
1573889573.524,8.301,16.113,-353.027,7.324,-43.945
1573889573.528,9.277,25.391,114.746,17.090,-108.398
1573889573.532,32.715,25.879,544.922,46.387,64.941
1573889573.536,36.133,17.578,439.453,44.434,166.504
1573889573.540,17.578,17.578,170.898,8.301,39.551
1573889573.544,14.160,24.902,204.590,3.418,-96.191
1573889573.548,18.555,21.484,571.777,28.809,18.066
1573889573.551,22.949,16.113,620.117,34.180,159.180
1573889573.555,22.461,16.113,173.828,17.578,74.707
1573889573.559,17.090,12.207,-12.207,14.160,-73.242
1573889573.563,20.996,9.277,70.312,23.438,-73.730
1573889573.567,35.156,12.695,159.668,33.691,92.773
1573889573.571,39.062,20.508,298.340,34.668,122.559
1573889573.575,20.508,24.414,212.891,12.207,-51.758
1573889573.579,14.160,20.020,387.207,11.719,-66.406
1573889573.583,26.855,20.508,842.285,31.738,118.164
1573889573.587,24.902,24.902,761.230,22.949,167.969
1573889573.590,11.719,18.555,147.461,2.930,-14.160
1573889573.594,6.836,12.207,107.422,5.371,-108.398
1573889573.598,14.648,16.602,679.688,23.926,50.293
1573889573.602,21.973,26.367,665.527,27.344,178.711
1573889573.606,6.836,22.949,64.453,2.930,67.871
1573889573.610,-4.395,16.602,-158.203,-11.719,-93.262
1573889573.614,11.230,19.531,401.367,11.230,-6.836
1573889573.618,20.508,14.648,780.762,28.809,182.129
1573889573.622,10.742,14.160,253.906,8.789,113.281
1573889573.626,-0.977,15.625,-333.984,-8.789,-66.895
1573889573.630,8.301,22.461,109.375,18.555,-62.500
1573889573.633,25.391,36.621,604.980,50.293,102.051
1573889573.637,16.113,39.062,307.129,33.691,143.066
1573889573.641,-5.859,21.973,-108.887,4.883,-52.734
1573889573.645,-0.488,13.672,45.410,14.160,-115.723
1573889573.649,21.484,16.113,310.547,37.109,70.801
1573889573.653,25.391,18.066,62.012,35.156,148.438
1573889573.657,20.508,22.949,-239.746,17.090,7.812
1573889573.661,21.484,21.484,-62.500,17.578,-104.980
1573889573.665,32.715,25.391,379.395,43.457,12.207
1573889573.669,40.527,30.762,78.125,40.527,120.605
1573889573.673,31.738,27.832,-442.871,7.812,33.691
1573889573.676,20.996,35.156,-160.645,5.371,-80.566
1573889573.680,20.508,31.250,288.574,28.809,0.000
1573889573.684,30.273,16.113,324.707,39.551,137.207
1573889573.688,21.973,17.090,-7.812,19.043,85.449
1573889573.692,8.301,23.926,-129.395,0.488,-44.434
1573889573.696,17.090,26.855,-40.039,19.531,-57.129
1573889573.700,27.344,25.879,-151.367,31.738,73.242
1573889573.704,24.902,25.879,-350.098,20.020,92.773
1573889573.708,5.371,21.973,-364.258,-0.488,-45.898
1573889573.712,5.371,20.996,-176.758,6.836,-87.891
1573889573.715,21.484,23.926,153.320,38.574,49.805
1573889573.719,21.973,23.438,204.102,36.621,148.926
1573889573.723,18.066,23.438,-132.324,15.137,21.973
1573889573.727,9.277,25.879,-240.234,11.719,-93.750
1573889573.731,10.742,24.902,127.441,27.344,27.832
1573889573.735,21.484,27.344,385.254,33.691,194.336
1573889573.739,17.578,34.180,8.301,17.090,85.938
1573889573.743,9.277,31.250,-441.406,8.301,-132.324
1573889573.747,11.719,31.738,-252.930,24.902,-73.242
1573889573.751,27.832,35.645,157.227,45.898,121.094
