timestamps,TP9,AF7,AF8,TP10,Right AUX
1572494015.379,31.738,177.246,-181.641,37.598,-0.488
1572494015.383,43.457,49.316,-360.840,47.363,-18.066
1572494015.386,42.969,90.820,-403.809,43.457,-5.371
1572494015.390,33.691,199.707,-151.855,36.621,-0.488
1572494015.394,30.273,185.547,-22.949,36.621,11.719
1572494015.398,35.156,62.500,-191.406,47.363,21.973
1572494015.402,32.227,21.973,-388.672,42.480,-14.648
1572494015.406,21.484,208.496,-6.836,23.438,17.578
1572494015.410,30.273,144.043,130.859,32.227,25.879
1572494015.414,39.062,-68.848,-312.988,43.457,-26.367
1572494015.418,27.344,-0.488,-400.391,31.250,-17.090
1572494015.422,19.043,165.039,26.367,29.297,23.926
1572494015.426,35.156,52.246,-6.836,43.945,14.648
1572494015.429,29.297,6.348,-181.152,33.691,2.930
1572494015.433,13.672,101.562,-46.875,22.461,17.578
1572494015.437,21.484,116.211,125.000,30.273,51.270
1572494015.441,27.832,17.090,34.668,43.945,56.152
1572494015.445,33.691,-67.871,-236.816,47.852,2.441
1572494015.449,31.250,1.465,-255.859,37.598,10.254
1572494015.453,24.414,64.453,-147.949,33.203,17.090
1572494015.457,21.484,53.711,-149.902,29.297,14.160
1572494015.461,15.625,47.852,-163.574,20.508,17.090
1572494015.465,17.090,104.980,-26.855,20.020,31.250
1572494015.468,24.414,122.559,98.145,32.227,53.711
1572494015.472,28.809,-35.645,-159.668,33.691,17.578
1572494015.476,17.578,-61.523,-407.227,12.207,3.906
1572494015.480,3.906,119.141,-112.305,-2.930,18.066
1572494015.484,13.184,53.223,-93.262,8.301,2.441
1572494015.488,13.184,2.930,-242.676,15.137,-2.441
1572494015.492,11.230,41.504,-193.359,11.719,18.555
1572494015.496,19.043,26.855,-218.750,13.672,3.906
1572494015.500,20.020,25.391,-223.633,14.648,-19.043
1572494015.504,19.043,18.066,-296.875,9.277,-17.578
1572494015.508,21.973,75.684,-249.512,10.254,-12.695
1572494015.511,27.344,149.414,29.297,21.484,20.508
1572494015.515,29.297,47.852,-10.742,27.344,17.090
1572494015.519,27.344,-11.719,-194.336,23.438,-10.742
1572494015.523,21.484,77.148,-110.840,12.695,-1.465
1572494015.527,22.949,102.539,-1.465,15.137,2.441
1572494015.531,30.762,12.695,-96.191,20.020,5.859
1572494015.535,26.855,-70.312,-411.133,15.625,-30.273
1572494015.539,20.020,42.969,-390.625,7.812,-24.414
1572494015.543,21.973,99.609,-251.465,9.277,-8.789
1572494015.547,27.832,32.715,-355.469,22.461,-19.043
1572494015.551,33.203,47.363,-364.746,27.344,-3.906
1572494015.554,23.926,185.547,-71.777,20.996,25.391
1572494015.558,12.695,186.035,138.672,12.695,59.570
1572494015.562,15.137,25.879,-128.906,15.137,35.645
1572494015.566,21.973,19.043,-282.227,22.949,3.906
1572494015.570,18.555,123.535,-82.520,14.160,5.371
1572494015.574,13.672,115.234,17.578,13.672,20.020
1572494015.578,22.949,5.371,-236.328,19.531,-1.953
1572494015.582,22.461,32.227,-310.547,18.066,4.395
1572494015.586,26.367,80.566,-141.113,31.738,35.156
1572494015.590,27.832,56.152,-173.340,32.715,41.016
1572494015.593,14.648,-17.090,-381.836,15.625,25.879
1572494015.597,9.277,-3.906,-510.742,5.859,-1.465
1572494015.601,15.625,191.406,-72.266,10.254,36.133
1572494015.605,35.645,112.305,43.945,32.227,39.551
1572494015.609,34.668,9.766,-171.387,39.551,12.695
1572494015.613,23.438,101.562,-72.754,25.879,28.320
1572494015.617,20.508,75.684,-2.441,18.066,39.551
1572494015.621,28.320,-14.160,-229.004,23.438,17.578
1572494015.625,30.273,60.547,-162.109,27.832,33.203
1572494015.629,22.949,75.684,-20.508,27.344,28.809
1572494015.633,21.973,7.324,-150.391,25.391,7.812
1572494015.636,25.879,-43.457,-375.488,24.902,-11.230
1572494015.640,27.344,7.324,-394.043,20.508,-8.301
1572494015.644,18.066,129.395,-138.672,12.207,15.625
1572494015.648,17.090,146.484,22.461,20.508,23.438
1572494015.652,26.367,-7.324,-183.594,27.832,9.766
1572494015.656,17.090,-99.121,-571.289,17.090,-33.691
1572494015.660,-0.977,88.867,-343.750,2.930,-17.090
1572494015.664,9.766,126.953,-40.527,12.207,19.531
1572494015.668,16.602,66.895,-110.352,20.020,29.297
1572494015.672,17.090,70.312,-121.094,20.508,37.598
1572494015.676,25.879,74.707,-21.484,29.785,68.359
1572494015.679,25.391,-13.672,-204.590,28.809,37.109
1572494015.683,19.531,-11.719,-340.332,16.602,14.160
1572494015.687,22.949,84.961,-156.738,14.160,39.551
1572494015.691,37.109,80.078,-52.734,30.273,26.367
1572494015.695,29.785,6.348,-144.043,38.086,3.418
1572494015.699,16.113,-97.656,-461.914,23.926,-4.395
1572494015.703,18.066,5.371,-422.363,20.996,13.672
1572494015.707,23.926,120.117,-101.074,29.297,17.578
1572494015.711,26.855,16.113,-163.086,29.297,8.789
1572494015.715,29.297,-20.996,-268.066,28.809,6.836
1572494015.718,32.227,68.848,-145.996,31.738,23.926
1572494015.722,31.250,80.078,-52.246,33.203,33.203
1572494015.726,29.297,-29.297,-252.441,33.203,24.414
1572494015.730,31.738,-71.289,-500.000,33.691,-0.488
1572494015.734,32.715,68.848,-354.492,29.297,-2.441
1572494015.738,27.344,174.805,-27.832,28.809,47.363
