timestamps,TP9,AF7,AF8,TP10,Right AUX
1571283848.503,-4.883,854.980,653.320,-2.441,93.262
1571283848.507,-36.621,940.430,707.520,-47.363,71.289
1571283848.511,-57.617,605.957,431.152,-77.148,-16.602
1571283848.514,-67.383,606.445,437.500,-86.914,-2.441
1571283848.518,-48.340,933.105,719.238,-73.242,79.590
1571283848.522,-69.824,882.324,673.340,-88.379,91.309
1571283848.526,-79.590,224.609,171.387,-96.191,3.906
1571283848.530,-67.383,143.555,130.859,-85.449,-45.410
1571283848.534,-65.918,732.422,570.801,-76.172,53.711
1571283848.538,-72.754,847.656,639.648,-67.383,94.727
1571283848.542,-87.891,618.652,442.871,-71.777,9.766
1571283848.546,-76.660,576.660,382.812,-70.312,-41.016
1571283848.550,-55.176,727.051,473.145,-70.312,20.508
1571283848.553,-34.180,958.496,641.602,-56.641,118.164
1571283848.557,-23.926,843.262,515.137,-50.781,57.617
1571283848.561,-26.855,661.621,359.863,-51.270,11.230
1571283848.565,-19.043,672.363,365.234,-42.480,56.641
1571283848.569,14.160,628.418,332.031,-11.719,102.051
1571283848.573,24.902,299.316,80.078,-0.488,43.945
1571283848.577,12.207,62.988,-100.586,-7.324,-30.762
1571283848.581,13.184,224.609,20.020,2.441,0.977
1571283848.585,30.273,82.031,-91.797,16.602,47.852
1571283848.589,32.227,83.008,-79.590,13.184,51.758
1571283848.593,25.391,257.812,41.992,8.789,8.301
1571283848.596,27.832,-105.957,-251.465,7.812,-47.363
1571283848.600,42.480,-18.066,-167.969,27.832,18.066
1571283848.604,50.293,441.895,188.965,43.457,86.426
1571283848.608,24.414,481.445,201.172,26.855,27.832
1571283848.612,18.555,152.344,-49.316,21.973,-25.391
1571283848.616,41.992,-122.070,-239.258,38.574,-4.883
1571283848.620,46.387,-19.043,-127.930,35.156,59.570
1571283848.624,37.109,313.477,134.766,25.391,71.289
1571283848.628,39.062,113.281,-33.691,29.297,5.371
1571283848.632,45.898,-525.391,-506.836,24.902,-41.504
1571283848.636,47.852,-164.551,-195.801,36.133,28.809
1571283848.639,44.922,456.543,274.902,47.363,70.801
1571283848.643,31.250,256.836,111.816,37.598,16.113
1571283848.647,38.086,-6.836,-86.914,34.180,-19.531
1571283848.651,53.711,145.508,46.875,47.363,35.645
1571283848.655,42.969,430.176,283.691,43.945,85.938
1571283848.659,34.668,345.215,219.238,32.227,26.367
1571283848.663,40.039,-107.422,-119.629,28.320,-35.645
1571283848.667,47.852,-150.391,-125.488,30.762,25.391
1571283848.671,44.434,227.539,173.340,36.621,80.078
1571283848.675,29.785,-130.371,-106.934,22.461,1.953
1571283848.678,20.996,-551.758,-409.180,12.695,-46.387
1571283848.682,30.273,14.160,32.227,19.043,18.555
1571283848.686,47.852,479.004,376.465,36.621,88.867
1571283848.690,44.434,430.176,345.215,39.551,62.988
1571283848.694,29.297,329.102,284.668,25.879,18.066
1571283848.698,30.273,293.457,259.277,28.809,-6.836
1571283848.702,45.898,476.562,430.664,44.434,90.820
1571283848.706,42.969,486.328,458.496,46.387,104.492
1571283848.710,29.297,24.414,116.211,30.762,-7.812
1571283848.714,23.438,-208.984,-37.598,19.043,-31.250
1571283848.718,32.715,-61.035,86.426,26.367,17.090
1571283848.721,42.969,-111.816,68.848,28.320,58.105
1571283848.725,28.809,5.859,166.016,21.484,24.414
1571283848.729,21.484,273.926,340.820,20.020,-6.836
1571283848.733,30.273,278.809,340.332,31.738,32.227
1571283848.737,34.668,523.926,553.223,47.363,114.746
1571283848.741,24.414,664.062,656.250,37.109,77.637
1571283848.745,20.508,395.508,443.848,24.414,-3.906
1571283848.749,24.414,181.641,298.340,31.738,12.695
1571283848.753,32.227,386.230,476.074,49.805,96.680
1571283848.757,31.250,285.645,395.508,50.781,68.848
1571283848.761,26.367,-20.020,170.410,32.227,12.207
1571283848.764,30.273,-450.684,-157.227,16.602,-10.254
1571283848.768,34.668,-524.902,-202.148,20.020,46.875
1571283848.772,27.832,218.262,350.586,16.113,109.863
1571283848.776,16.602,264.648,339.355,12.695,43.945
1571283848.780,22.461,-165.039,-6.348,18.066,-27.832
1571283848.784,34.668,-4.395,126.465,26.367,42.969
1571283848.788,35.156,510.742,524.902,36.133,139.160
1571283848.792,30.762,314.453,350.586,31.250,57.617
1571283848.796,28.809,-110.352,20.996,17.090,-7.324
1571283848.800,31.250,-10.254,90.820,15.625,30.762
1571283848.803,47.852,110.840,176.270,47.852,88.867
1571283848.807,47.363,-108.887,12.695,53.223,79.102
1571283848.811,16.602,-710.938,-452.148,16.113,-15.625
1571283848.815,17.090,-584.961,-351.562,18.066,-2.930
1571283848.819,34.180,56.152,122.070,36.133,103.027
1571283848.823,25.879,-54.199,1.465,25.879,69.336
1571283848.827,20.508,-241.699,-157.227,23.438,-5.859
1571283848.831,22.461,-116.699,-76.172,23.438,-0.488
1571283848.835,37.598,155.762,118.652,32.227,68.359
1571283848.839,42.969,302.246,229.980,39.062,109.375
1571283848.843,28.809,104.492,71.777,29.297,41.992
1571283848.846,26.855,-61.523,-69.336,20.508,-8.301
1571283848.850,37.109,-66.895,-73.730,28.809,50.293
1571283848.854,40.039,-338.867,-265.625,36.133,82.031
1571283848.858,26.367,-667.969,-507.812,22.461,3.418
1571283848.862,16.113,-438.477,-343.262,13.672,-44.434
1571283848.866,28.320,-153.320,-139.160,18.555,0.488
1571283848.870,32.227,77.148,42.480,33.203,78.125
1571283848.874,22.949,216.309,144.531,28.320,58.594
1571283848.878,15.137,19.043,-17.090,16.113,-9.277
1571283848.882,12.207,-199.707,-186.035,21.484,-25.879
1571283848.886,28.320,15.137,-5.859,36.133,45.898
1571283848.889,25.391,246.094,171.387,32.227,51.758
1571283848.893,15.625,178.223,115.234,26.855,-13.672
1571283848.897,22.949,-255.371,-214.844,22.949,-65.430
1571283848.901,34.180,-666.016,-494.141,29.297,-19.531
1571283848.905,36.133,-208.008,-111.328,44.922,55.664
1571283848.909,25.879,182.617,157.715,36.133,7.324
1571283848.913,12.695,-152.832,-125.488,10.742,-69.824
1571283848.917,22.461,-159.668,-115.723,15.625,-24.414
1571283848.921,34.668,424.805,358.887,32.227,97.168
1571283848.925,26.855,505.859,405.273,24.414,46.387
1571283848.928,19.043,156.250,136.230,16.113,-29.297
1571283848.932,36.621,-90.820,-33.691,23.926,-19.043
1571283848.936,51.758,186.523,200.195,35.645,58.105
1571283848.940,33.691,405.273,364.258,33.203,41.504
1571283848.944,21.973,-13.184,47.363,23.438,-26.367
1571283848.948,36.621,-321.289,-155.273,24.902,-12.207
1571283848.952,41.992,146.484,221.680,35.156,82.031
1571283848.956,31.738,585.449,537.598,39.551,94.727
1571283848.960,27.344,-37.598,52.246,30.273,-12.207
1571283848.964,30.273,-415.039,-213.379,16.602,-38.086
1571283848.968,43.945,213.867,269.531,23.926,58.105
1571283848.971,43.945,467.285,439.453,32.227,77.637
1571283848.975,22.949,144.531,182.129,25.391,-12.207
1571283848.979,19.043,-18.555,62.500,22.949,-45.410
1571283848.983,33.203,171.387,207.031,34.668,17.578
1571283848.987,42.969,380.859,365.723,49.316,91.309
1571283848.991,32.227,41.504,99.121,40.527,32.227
1571283848.995,21.973,-395.996,-232.910,23.438,-38.574
1571283848.999,31.738,-406.738,-243.164,22.461,-17.578
1571283849.003,39.062,-271.973,-142.578,32.715,47.363
1571283849.007,40.039,-474.609,-295.898,33.691,31.250
1571283849.011,27.832,-433.105,-282.227,21.973,-31.250
1571283849.014,16.113,-124.023,-90.332,25.391,-37.598
1571283849.018,24.902,26.855,6.348,36.133,30.762
1571283849.022,26.855,96.680,52.734,34.668,36.133
1571283849.026,14.648,149.414,89.844,28.320,7.812
1571283849.030,15.625,41.992,-12.695,22.949,-26.367
1571283849.034,30.762,73.730,15.137,32.715,37.598
1571283849.038,31.250,194.336,117.188,36.133,111.816
1571283849.042,9.277,-105.469,-139.648,20.508,10.254
1571283849.046,8.789,-389.648,-362.305,13.672,-35.645
1571283849.050,34.180,-615.723,-528.320,27.344,12.207
1571283849.053,36.133,-443.848,-387.695,33.691,63.477
1571283849.057,12.207,132.324,32.715,24.902,56.641
1571283849.061,5.859,143.066,9.766,21.484,11.719
1571283849.065,17.578,-95.215,-188.477,24.902,-6.836
1571283849.069,24.902,271.484,104.004,33.203,94.238
1571283849.073,21.973,555.176,303.711,29.297,91.309
1571283849.077,16.113,165.039,-9.277,20.996,-0.488
1571283849.081,25.879,-107.910,-196.289,16.113,4.395
1571283849.085,41.992,2.930,-89.844,26.367,67.383
1571283849.089,46.387,72.754,-23.926,40.527,78.613
1571283849.093,38.574,-166.016,-211.426,26.855,-0.977
1571283849.096,30.273,-687.012,-606.934,8.301,-55.664
1571283849.100,39.062,-410.156,-377.441,18.066,15.137
1571283849.104,44.922,210.449,90.820,38.086,92.285
1571283849.108,28.320,163.574,36.621,32.227,29.785
1571283849.112,22.461,-76.172,-151.367,19.043,-42.969
1571283849.116,35.156,193.359,73.242,28.320,28.320
