timestamps,TP9,AF7,AF8,TP10,Right AUX
1571285976.346,9.766,-343.262,-187.988,16.602,-57.617
1571285976.350,62.988,-44.922,85.449,33.691,75.684
1571285976.354,63.477,363.281,396.973,40.527,159.180
1571285976.358,0.977,149.902,192.383,11.230,39.551
1571285976.362,-16.113,-174.316,-53.223,-7.324,-40.039
1571285976.366,50.293,-229.492,-62.500,15.625,10.742
1571285976.370,80.566,32.715,168.945,42.969,105.469
1571285976.374,32.227,-175.781,-6.348,29.297,59.082
1571285976.378,7.812,-624.023,-355.469,7.324,-51.270
1571285976.382,42.969,-250.488,-66.406,10.254,-36.621
1571285976.386,89.355,117.676,214.355,36.621,65.430
1571285976.389,48.340,235.352,297.363,38.086,99.609
1571285976.393,-14.648,120.605,169.922,12.207,1.465
1571285976.397,14.160,2.441,65.918,12.207,-34.180
1571285976.401,80.566,167.480,217.773,43.457,75.684
1571285976.405,64.453,189.453,234.375,44.922,109.375
1571285976.409,2.930,-102.051,-5.859,23.438,7.812
1571285976.413,3.418,-358.887,-200.195,18.066,-46.875
1571285976.417,63.965,-500.488,-279.785,40.039,10.254
1571285976.421,66.406,-465.332,-212.402,43.457,91.797
1571285976.425,-0.488,-113.770,32.715,15.625,69.824
1571285976.428,-16.113,15.625,63.965,6.348,-20.508
1571285976.432,36.133,-64.453,5.859,20.508,2.930
1571285976.436,75.684,347.168,358.887,47.852,148.438
1571285976.440,25.879,554.199,479.980,30.273,106.445
1571285976.444,-17.578,164.551,144.531,9.277,-34.668
1571285976.448,27.344,-85.938,-9.277,26.367,-22.949
1571285976.452,81.055,229.004,276.855,51.758,115.723
1571285976.456,42.969,530.273,480.957,51.270,134.277
1571285976.460,-13.672,19.043,71.777,23.438,1.953
1571285976.464,7.812,-780.762,-572.266,18.066,-81.055
1571285976.468,67.383,-710.449,-481.445,41.992,-12.695
1571285976.471,46.875,169.922,262.207,35.645,122.559
1571285976.475,-13.672,252.930,252.930,15.137,56.152
1571285976.479,-5.859,-256.836,-158.691,11.230,-62.500
1571285976.483,56.641,-66.406,26.855,29.297,18.555
1571285976.487,73.730,441.406,416.016,45.898,125.000
1571285976.491,12.695,266.113,251.465,24.414,53.711
1571285976.495,-6.836,-196.289,-103.516,5.859,-41.992
1571285976.499,41.504,-124.512,-20.508,10.254,1.953
1571285976.503,76.660,387.695,395.020,36.621,130.859
1571285976.507,35.645,126.953,177.734,34.180,73.730
1571285976.511,-12.695,-665.527,-415.527,4.883,-45.410
1571285976.514,18.555,-466.309,-232.422,11.719,-26.367
1571285976.518,77.637,83.496,196.289,44.922,86.426
1571285976.522,46.875,199.219,274.902,33.203,117.188
1571285976.526,-10.742,-45.410,54.688,3.418,-14.648
1571285976.530,6.348,-120.117,-2.930,8.301,-45.898
1571285976.534,66.895,206.055,272.949,28.809,72.266
1571285976.538,62.012,389.648,417.969,38.086,128.906
1571285976.542,0.977,137.695,201.172,28.320,26.855
1571285976.546,-8.301,-122.070,-1.953,14.160,-54.688
1571285976.550,49.805,6.348,125.488,29.297,20.508
1571285976.553,84.473,157.227,267.578,57.129,112.305
1571285976.557,35.156,-77.637,83.008,46.387,53.223
1571285976.561,-5.371,-247.559,-65.430,19.531,-35.645
1571285976.565,29.297,-96.191,48.828,22.461,-0.488
1571285976.569,72.266,-172.363,30.762,39.551,105.957
1571285976.573,36.621,-274.414,-43.457,28.809,70.801
1571285976.577,-14.648,-333.984,-133.789,8.301,-53.711
1571285976.581,-0.488,-539.062,-295.898,4.395,-68.359
1571285976.585,51.758,-212.891,-15.625,28.320,62.012
1571285976.589,41.992,247.070,315.918,26.367,114.258
1571285976.593,-3.418,122.559,166.504,15.137,3.906
1571285976.596,0.488,-286.621,-141.602,13.672,-62.012
1571285976.600,55.176,-337.891,-125.488,24.414,27.832
1571285976.604,68.848,-120.117,58.594,38.574,96.191
1571285976.608,10.742,-154.785,-0.977,25.879,-0.488
1571285976.612,-8.789,-527.344,-305.664,10.254,-84.961
1571285976.616,36.621,-826.660,-514.160,8.789,-53.223
1571285976.620,58.105,-131.836,57.617,24.902,88.379
1571285976.624,4.395,317.383,347.656,6.836,82.031
1571285976.628,-24.902,-115.723,-33.691,-20.996,-46.387
1571285976.632,23.438,-398.926,-219.727,-11.230,-37.598
1571285976.636,72.754,55.664,163.086,14.648,104.980
1571285976.639,37.109,347.656,355.957,16.113,89.355
1571285976.643,-23.926,-48.340,27.344,-0.977,-27.344
1571285976.647,-2.441,-349.609,-174.805,0.488,-18.066
1571285976.651,61.035,-198.242,-22.949,22.949,76.172
1571285976.655,48.340,97.168,184.082,21.973,86.426
1571285976.659,-9.277,-428.711,-251.465,-3.906,-13.672
1571285976.663,-14.160,-902.832,-599.121,-13.672,-78.125
1571285976.667,27.832,-272.461,-101.074,12.207,13.184
1571285976.671,29.297,252.930,287.109,17.090,130.859
1571285976.675,-28.809,116.211,138.672,-7.812,62.500
1571285976.678,-47.852,-209.473,-129.883,-15.625,-50.293
1571285976.682,7.812,-204.590,-104.980,-5.371,-5.859
1571285976.686,41.992,-86.914,11.230,17.090,120.605
1571285976.690,-10.254,-301.270,-167.480,-0.488,81.055
1571285976.694,-49.805,-715.332,-501.465,-25.391,-31.738
1571285976.698,-2.930,-711.426,-473.633,-11.230,-11.719
1571285976.702,62.988,-301.270,-133.789,25.879,94.238
1571285976.706,36.133,-361.328,-171.875,22.461,96.680
1571285976.710,-24.902,-230.957,-93.750,-9.277,31.250
1571285976.714,-5.859,-36.133,3.418,-11.230,-0.488
1571285976.718,56.641,-43.457,0.488,23.438,61.523
1571285976.721,43.457,222.656,218.262,31.738,141.602
1571285976.725,-22.461,178.711,138.184,-12.207,41.016
1571285976.729,-23.438,-222.656,-177.246,-23.438,-65.918
1571285976.733,37.598,-264.648,-150.879,8.789,13.184
1571285976.737,54.688,90.820,153.809,29.297,123.535
1571285976.741,8.789,-113.281,-28.809,8.789,47.363
1571285976.745,-13.184,-690.918,-477.051,-9.766,-65.430
1571285976.749,20.508,-979.980,-692.383,6.348,-41.992
1571285976.753,56.641,-593.750,-337.402,29.785,86.426
1571285976.757,21.973,49.316,137.207,19.531,80.566
1571285976.761,-14.160,-121.582,-57.129,2.441,-27.344
1571285976.764,11.230,-416.504,-258.789,9.766,-41.504
1571285976.768,57.617,92.773,171.875,31.250,114.746
1571285976.772,41.016,479.004,436.523,40.039,146.973
1571285976.776,-7.324,-12.207,23.438,24.902,-0.977
1571285976.780,9.277,-397.949,-236.328,18.555,-34.180
1571285976.784,80.078,-83.496,51.758,50.781,74.707
