timestamps,TP9,AF7,AF8,TP10,Right AUX
1571285809.659,8.301,3.906,-255.371,33.691,18.555
1571285809.663,-5.859,449.219,103.027,36.133,55.176
1571285809.667,6.836,540.039,151.855,23.926,56.152
1571285809.671,21.973,252.441,-88.379,5.371,26.855
1571285809.675,15.625,117.188,-166.504,13.184,5.859
1571285809.678,-4.883,205.078,-41.504,23.438,41.504
1571285809.682,-5.859,192.871,-40.039,19.043,58.105
1571285809.686,17.578,-370.605,-490.234,7.812,2.441
1571285809.690,24.414,-561.035,-622.070,-2.930,-12.207
1571285809.694,7.324,189.941,-26.855,12.207,58.594
1571285809.698,-2.930,442.871,149.414,17.090,78.613
1571285809.702,-5.371,223.633,-56.152,-3.418,40.039
1571285809.706,-1.953,253.906,-42.480,-7.324,61.523
1571285809.710,0.977,273.926,5.859,17.578,74.707
1571285809.714,-1.953,189.941,-22.949,26.367,53.711
1571285809.718,7.812,270.508,32.715,16.602,69.824
1571285809.721,22.949,211.426,-52.734,18.066,49.316
1571285809.725,19.043,41.992,-150.879,35.156,42.969
1571285809.729,15.137,-197.754,-275.391,52.734,51.270
1571285809.733,30.273,-512.695,-500.488,43.945,11.719
1571285809.737,40.527,-332.031,-394.043,21.484,-1.465
1571285809.741,39.551,-115.723,-258.789,31.738,-8.789
1571285809.745,23.438,62.500,-83.496,47.363,40.527
1571285809.749,17.090,290.527,91.309,47.363,69.824
1571285809.753,36.133,319.336,55.176,30.273,36.621
1571285809.757,42.969,95.703,-138.672,22.461,4.395
1571285809.761,23.438,97.656,-77.148,43.457,38.574
1571285809.764,13.184,207.520,42.969,47.363,73.242
1571285809.768,38.086,170.898,-26.855,34.668,37.598
1571285809.772,61.523,-123.047,-277.344,30.273,0.488
1571285809.776,40.527,-644.531,-610.352,42.480,-8.789
1571285809.780,11.719,-412.598,-372.559,44.922,40.527
1571285809.784,25.879,175.293,26.855,35.645,52.734
1571285809.788,46.875,-14.160,-195.312,30.273,-7.324
1571285809.792,33.203,-152.344,-274.902,34.180,8.301
1571285809.796,13.672,232.910,71.289,57.617,62.500
1571285809.800,14.648,451.172,217.285,49.316,62.500
1571285809.803,33.691,167.969,-41.016,21.973,24.902
1571285809.807,39.062,-99.609,-227.539,41.016,7.324
1571285809.811,25.879,149.902,16.602,59.570,44.922
1571285809.815,24.902,384.766,187.500,46.387,61.035
1571285809.819,47.852,-61.035,-189.453,35.156,28.320
1571285809.823,52.734,-628.906,-602.539,29.785,14.648
1571285809.827,29.297,-271.484,-276.367,44.434,58.594
1571285809.831,27.832,262.695,116.211,58.594,71.777
1571285809.835,49.805,73.730,-78.125,46.387,30.762
1571285809.839,58.105,-276.367,-360.840,41.992,-7.812
1571285809.843,51.758,-13.184,-130.859,58.105,13.184
1571285809.846,44.922,296.387,123.047,75.684,51.758
1571285809.850,52.734,246.094,62.500,70.801,44.434
1571285809.854,70.801,43.457,-123.535,44.434,15.137
1571285809.858,61.035,110.352,-56.641,53.711,32.715
1571285809.862,54.688,320.312,138.672,81.543,68.359
1571285809.866,73.730,170.410,25.879,69.824,53.223
1571285809.870,71.777,-181.152,-258.301,48.340,22.949
1571285809.874,55.664,-306.152,-346.191,46.387,21.484
1571285809.878,44.922,-138.672,-178.223,60.059,51.270
1571285809.882,47.363,-356.934,-333.008,68.848,27.344
1571285809.886,57.129,-448.242,-433.105,52.246,-21.973
1571285809.889,64.941,-62.012,-177.246,46.875,-5.371
1571285809.893,56.152,15.625,-112.305,68.359,13.184
1571285809.897,57.617,50.781,-68.359,77.148,18.555
1571285809.901,66.895,248.535,53.223,60.547,29.785
1571285809.905,67.383,203.613,-30.273,53.711,18.555
1571285809.909,56.641,97.656,-87.891,66.895,22.949
1571285809.913,51.270,57.617,-68.848,86.426,55.664
1571285809.917,54.199,-12.207,-129.395,62.988,48.340
1571285809.921,49.805,86.426,-104.004,20.020,32.715
1571285809.925,39.062,-194.824,-332.520,31.250,-1.953
1571285809.928,15.137,-467.285,-473.633,43.945,0.488
1571285809.932,18.555,-0.977,-105.957,36.133,62.988
1571285809.936,45.898,111.328,-99.609,27.832,43.457
1571285809.940,44.922,-101.562,-282.715,33.691,5.859
1571285809.944,26.367,58.594,-113.770,41.016,38.086
1571285809.948,16.602,372.070,121.582,34.668,54.199
1571285809.952,25.391,296.387,23.926,23.438,32.227
1571285809.956,27.344,39.551,-181.641,17.090,22.949
1571285809.960,3.906,-96.680,-242.188,30.273,21.973
1571285809.964,-6.836,-73.242,-185.059,35.645,34.668
1571285809.968,10.254,-23.926,-168.457,25.391,39.062
1571285809.971,30.273,-419.922,-493.164,10.742,31.250
1571285809.975,12.695,-335.938,-402.832,13.184,54.688
1571285809.979,-1.465,295.898,73.242,33.203,60.547
1571285809.983,20.996,291.992,33.691,35.156,36.621
1571285809.987,57.129,105.957,-127.441,29.785,42.480
1571285809.991,41.504,39.551,-163.086,35.156,32.227
1571285809.995,14.160,208.496,5.859,56.152,40.039
1571285809.999,24.414,372.559,139.648,56.152,76.172
1571285810.003,39.551,305.664,52.246,31.738,67.383
1571285810.007,39.062,-63.477,-251.953,27.344,8.789
1571285810.011,18.066,-63.477,-196.777,38.086,29.297
1571285810.014,28.320,-3.418,-129.395,45.410,39.551
1571285810.018,41.016,-412.598,-458.984,30.273,-8.789
1571285810.022,32.715,-230.469,-334.961,21.973,-4.883
1571285810.026,22.949,200.684,-3.418,41.992,32.715
1571285810.030,20.508,380.371,156.738,60.547,72.266
1571285810.034,37.598,328.613,88.379,50.781,41.016
1571285810.038,64.941,230.469,-32.715,37.598,9.277
1571285810.042,62.988,237.793,-6.836,56.152,35.156
1571285810.046,40.039,194.336,4.395,67.383,55.664
1571285810.050,41.504,108.887,-60.547,47.363,44.434
1571285810.053,50.293,-98.633,-259.277,28.320,-3.418
1571285810.057,51.270,-269.531,-379.883,36.621,-0.488
1571285810.061,26.855,-401.367,-421.387,53.711,26.855
1571285810.065,20.508,-179.199,-237.305,42.969,55.664
1571285810.069,48.340,320.312,74.219,30.762,57.129
1571285810.073,56.641,187.988,-68.359,44.434,22.949
1571285810.077,31.738,168.945,-33.691,52.734,51.758
1571285810.081,19.531,519.531,249.512,49.316,85.449
1571285810.085,38.574,520.508,194.824,41.992,39.551
1571285810.089,57.129,115.723,-153.320,34.180,-18.066
1571285810.093,47.363,80.566,-138.184,45.898,16.602
1571285810.096,30.762,437.988,164.551,58.594,67.871
1571285810.100,31.738,391.602,103.027,44.434,53.711
1571285810.104,58.594,-179.199,-352.051,36.621,-0.977
1571285810.108,48.828,-454.590,-504.395,47.363,0.977
1571285810.112,5.859,146.484,-5.371,52.246,47.852
1571285810.116,12.695,591.309,285.156,41.016,51.270
1571285810.120,43.457,376.953,79.102,26.367,30.762
1571285810.124,46.875,225.586,-24.902,35.645,23.438
1571285810.128,28.809,565.918,276.855,52.246,62.500
1571285810.132,28.809,761.230,433.105,58.105,83.008
1571285810.136,48.828,490.723,201.172,44.434,40.039
1571285810.139,52.246,280.762,43.945,32.227,20.508
1571285810.143,28.320,440.430,198.730,42.480,40.039
1571285810.147,21.973,413.574,193.359,49.316,45.410
1571285810.151,41.016,-212.402,-284.180,26.855,1.953
1571285810.155,50.293,-495.605,-505.371,4.883,-40.527
1571285810.159,44.434,-2.441,-114.258,41.992,12.695
1571285810.163,33.691,192.871,48.828,67.871,50.781
1571285810.167,33.691,175.293,7.812,32.227,26.367
1571285810.171,55.176,134.277,-68.848,15.137,-3.906
1571285810.175,47.852,166.504,-37.109,33.203,8.789
1571285810.178,35.156,162.598,-7.324,53.711,29.785
1571285810.182,35.156,143.555,-14.160,46.875,50.781
1571285810.186,38.086,153.320,-45.410,18.066,36.621
1571285810.190,30.273,90.332,-119.629,5.371,16.602
1571285810.194,8.789,-123.535,-236.328,16.113,46.387
1571285810.198,-13.184,-435.059,-442.383,7.324,35.156
1571285810.202,-11.230,-204.590,-305.664,-9.277,19.531
1571285810.206,15.137,-41.504,-236.816,-3.418,19.531
