timestamps,TP9,AF7,AF8,TP10,Right AUX
1572496002.862,-45.410,57.617,999.512,-31.250,8.789
1572496002.866,-46.387,56.641,999.512,-46.387,61.523
1572496002.870,-47.363,64.941,999.512,-34.180,29.785
1572496002.874,-49.805,70.312,999.512,-36.621,11.719
1572496002.878,-54.688,71.777,999.512,-48.340,30.762
1572496002.882,-43.945,73.730,999.512,-42.969,42.480
1572496002.886,-36.133,72.754,999.512,-37.109,11.230
1572496002.890,-36.621,68.359,-1000.000,-32.715,-33.203
1572496002.894,-32.715,67.383,996.094,-17.578,10.254
1572496002.898,-28.809,69.336,-997.559,-8.789,8.301
1572496002.901,-20.996,72.754,999.023,-17.578,7.324
1572496002.905,-11.230,73.242,916.992,-11.719,15.137
1572496002.909,-20.508,72.266,954.590,-7.812,12.207
1572496002.913,-25.879,72.754,-987.305,-4.883,25.391
1572496002.917,-22.461,65.918,993.164,-12.207,35.645
1572496002.921,-24.902,59.570,988.281,-17.090,19.531
1572496002.925,-16.602,59.570,-995.605,-9.277,-8.301
1572496002.929,-10.742,62.500,957.520,-7.812,-17.578
1572496002.933,-13.672,68.359,869.141,-8.301,15.137
1572496002.937,-17.090,67.871,944.824,-17.090,61.035
1572496002.940,-17.090,67.383,994.629,-13.672,45.898
1572496002.944,-12.695,73.242,-962.891,-0.488,60.547
1572496002.948,-3.418,70.312,831.055,3.906,11.719
1572496002.952,0.488,68.359,692.383,-0.488,-22.949
1572496002.956,-3.906,69.336,977.051,0.488,23.438
1572496002.960,1.953,72.266,-990.723,12.695,5.859
1572496002.964,-5.859,71.777,968.750,1.465,-12.207
1572496002.968,-10.742,69.336,991.699,-9.766,5.859
1572496002.972,-12.695,73.242,-992.188,0.488,-26.855
1572496002.976,-23.926,70.801,981.934,2.441,-22.461
1572496002.980,-20.996,67.871,935.547,6.836,29.785
1572496002.983,-12.695,71.289,979.004,18.066,41.992
1572496002.987,-12.695,76.172,-994.629,17.090,2.930
1572496002.991,-15.625,78.125,-987.305,16.113,-14.160
1572496002.995,-15.625,72.266,817.383,16.602,-17.090
1572496002.999,-9.766,72.266,835.449,13.672,13.672
1572496003.003,-6.836,74.219,-963.379,7.812,45.410
1572496003.007,-9.766,76.172,961.426,15.137,10.742
1572496003.011,-13.672,78.125,931.641,18.555,7.324
1572496003.015,-13.672,78.125,993.164,2.441,4.883
1572496003.019,-7.324,80.566,-975.586,2.930,-3.418
1572496003.023,-12.695,77.637,878.418,10.742,-17.090
1572496003.026,-18.555,71.777,810.059,0.488,5.859
1572496003.030,-8.789,70.312,967.773,0.000,14.648
1572496003.034,-6.348,64.453,964.355,-2.930,6.836
1572496003.038,-1.953,56.641,700.684,-10.742,-2.441
1572496003.042,-1.465,61.523,560.547,-11.719,29.785
1572496003.046,-3.418,67.383,827.148,-3.906,51.270
1572496003.050,-2.441,67.383,945.801,-0.977,66.895
1572496003.054,-10.254,64.453,721.680,-9.277,28.320
1572496003.058,-0.977,61.035,686.523,-2.441,21.973
1572496003.062,9.277,62.012,859.375,13.184,69.824
1572496003.065,-4.883,64.941,775.391,9.766,39.551
1572496003.069,-7.812,67.383,581.055,0.977,37.109
1572496003.073,5.859,70.801,470.703,8.789,25.391
1572496003.077,4.883,69.824,575.684,16.113,10.254
1572496003.081,9.766,67.383,612.793,17.090,41.016
1572496003.085,19.531,69.336,367.676,21.973,17.578
1572496003.089,17.090,68.848,391.113,19.531,31.250
1572496003.093,16.113,65.918,519.043,12.695,36.133
1572496003.097,15.625,63.477,447.266,14.648,26.367
1572496003.101,13.184,64.453,306.641,16.113,17.090
1572496003.105,13.672,66.406,428.711,11.719,-20.996
1572496003.108,15.137,65.918,589.844,9.766,10.254
1572496003.112,20.508,64.941,506.836,23.926,11.719
1572496003.116,22.461,59.570,392.090,19.043,14.160
1572496003.120,22.461,60.059,426.758,8.301,51.270
1572496003.124,27.344,68.359,480.957,26.855,80.078
1572496003.128,30.762,73.242,437.500,25.391,31.738
1572496003.132,21.484,70.801,481.445,8.789,0.000
1572496003.136,15.137,65.918,586.914,14.648,7.812
