timestamps,TP9,AF7,AF8,TP10,Right AUX
1572497046.798,36.133,40.039,455.566,25.391,9.277
1572497046.802,37.109,37.598,452.148,33.203,4.395
1572497046.806,34.668,37.109,466.797,30.273,0.000
1572497046.809,30.273,34.668,443.359,24.414,3.906
1572497046.813,40.527,30.762,344.238,30.273,18.555
1572497046.817,35.645,33.203,255.371,30.762,-6.836
1572497046.821,30.273,33.203,205.566,28.320,-6.348
1572497046.825,24.414,32.715,156.738,24.414,26.855
1572497046.829,23.926,36.621,107.422,27.344,25.391
1572497046.833,28.320,40.039,74.219,28.320,35.645
1572497046.837,26.367,36.621,50.293,22.949,32.227
1572497046.841,24.902,34.180,30.273,23.926,30.273
1572497046.845,24.902,34.668,2.441,26.367,42.480
1572497046.849,29.297,33.691,-17.090,29.785,26.367
1572497046.852,29.297,36.133,-25.879,28.809,20.020
1572497046.856,23.438,38.086,-49.316,29.297,17.578
1572497046.860,23.438,31.250,-66.895,35.156,12.207
1572497046.864,29.785,31.738,-50.293,35.645,18.066
1572497046.868,35.156,37.109,-47.363,31.250,19.043
1572497046.872,26.367,36.133,-77.148,26.855,3.418
1572497046.876,26.855,37.109,-85.449,31.738,-19.043
1572497046.880,36.133,37.598,-87.402,36.133,-20.020
1572497046.884,36.133,36.133,-101.562,35.156,-10.742
1572497046.888,40.527,37.109,-113.770,37.109,15.137
1572497046.892,40.527,36.133,-128.906,34.668,-4.395
1572497046.895,39.551,36.621,-122.559,25.879,-24.902
1572497046.899,38.086,39.551,-86.426,25.391,6.836
1572497046.903,36.621,37.109,-85.938,32.227,2.441
1572497046.907,38.086,33.691,-111.328,31.738,4.395
1572497046.911,42.480,31.250,-114.746,29.297,21.973
1572497046.915,40.527,35.645,-112.305,35.156,11.230
1572497046.919,37.598,38.574,-134.277,35.156,11.230
1572497046.923,41.504,36.621,-156.250,33.203,-6.348
1572497046.927,38.574,39.062,-160.156,24.902,-36.133
1572497046.931,30.762,41.504,-147.461,20.996,-10.254
1572497046.934,26.367,37.109,-143.555,24.414,7.812
1572497046.938,20.020,30.762,-145.508,24.902,17.090
1572497046.942,16.113,26.367,-141.602,20.996,35.156
1572497046.946,21.484,26.367,-141.602,16.113,30.762
1572497046.950,32.227,27.832,-149.414,24.414,19.531
1572497046.954,35.156,32.227,-159.180,29.785,10.254
1572497046.958,32.227,30.762,-168.457,26.367,15.137
1572497046.962,33.203,28.320,-180.664,24.902,36.133
1572497046.966,36.621,30.762,-204.590,25.879,27.344
1572497046.970,31.250,31.250,-203.613,16.602,5.371
1572497046.974,29.785,35.156,-174.805,15.625,11.230
1572497046.977,35.645,40.039,-173.340,29.785,43.457
1572497046.981,34.180,37.598,-188.965,31.250,40.039
1572497046.985,31.738,35.156,-201.660,25.879,-1.465
1572497046.989,29.785,37.598,-202.637,27.832,16.113
1572497046.993,25.391,39.551,-211.426,32.227,43.945
1572497046.997,33.203,37.598,-236.816,31.738,20.996
1572497047.001,32.227,36.133,-258.301,27.832,32.227
1572497047.005,26.855,36.133,-248.047,22.461,9.766
1572497047.009,33.691,33.691,-215.820,28.320,0.000
1572497047.013,31.738,29.297,-221.191,29.785,9.766
1572497047.017,23.438,32.715,-237.305,18.066,-9.277
1572497047.020,24.902,43.457,-228.027,20.508,15.625
1572497047.024,28.320,43.457,-206.543,28.809,19.531
1572497047.028,26.367,38.574,-212.891,33.203,5.859
1572497047.032,21.484,32.715,-225.586,28.320,12.207
1572497047.036,20.996,28.320,-210.449,23.926,18.066
1572497047.040,24.414,33.691,-211.914,27.832,16.113
1572497047.044,25.391,34.668,-224.121,26.367,25.879
1572497047.048,24.414,36.133,-244.141,22.461,36.621
1572497047.052,25.391,35.645,-278.809,22.949,28.809
1572497047.056,36.621,34.180,-294.922,32.715,16.602
1572497047.059,42.480,30.273,-312.988,24.902,-30.273
1572497047.063,31.250,26.855,-319.824,16.602,-37.109
1572497047.067,25.391,24.414,-307.617,25.879,-1.953
1572497047.071,26.855,22.461,-295.410,18.555,-4.395
1572497047.075,30.762,28.809,-287.598,20.020,-3.418
1572497047.079,29.785,35.645,-281.738,25.879,-1.953
1572497047.083,22.949,32.715,-261.719,22.949,6.348
1572497047.087,21.973,31.250,-240.723,21.973,41.016
1572497047.091,20.020,31.250,-224.609,20.508,39.551
1572497047.095,22.949,28.809,-209.473,19.531,19.043
1572497047.099,24.902,25.391,-207.520,24.902,29.785
1572497047.102,23.926,25.879,-195.312,22.949,41.504
1572497047.106,24.902,30.762,-183.594,16.602,28.320
1572497047.110,32.227,35.645,-198.242,21.484,36.133
1572497047.114,41.992,36.133,-223.633,28.320,40.527
1572497047.118,34.668,24.414,-214.355,27.344,12.695
1572497047.122,26.855,27.344,-176.758,26.855,19.043
1572497047.126,27.832,39.551,-168.457,32.227,44.434
1572497047.130,29.297,37.598,-187.988,33.691,26.367
1572497047.134,23.438,33.203,-211.426,24.414,6.836
1572497047.138,12.207,31.738,-219.238,19.531,14.160
1572497047.142,14.648,33.203,-230.957,26.367,23.926
1572497047.145,23.438,32.715,-249.023,32.227,24.902
1572497047.149,22.949,28.809,-250.488,27.832,16.602
1572497047.153,25.391,30.762,-245.605,16.113,-1.465
1572497047.157,29.785,37.109,-238.770,20.020,28.809
1572497047.161,34.180,33.691,-239.746,30.762,22.461
1572497047.165,38.574,30.762,-195.312,28.320,-6.348
1572497047.169,38.086,36.133,-186.523,28.320,22.461
1572497047.173,37.598,38.086,-247.559,30.762,26.367
1572497047.177,38.574,32.227,-290.527,29.785,14.648
1572497047.181,35.156,31.738,-315.430,33.691,20.020
1572497047.184,30.273,40.527,-307.617,33.691,33.691
1572497047.188,31.738,42.480,-304.199,34.180,32.227
1572497047.192,33.691,41.016,-310.547,36.621,16.602
1572497047.196,37.598,46.387,-286.621,34.180,16.113
1572497047.200,42.480,52.734,-282.227,36.133,35.156
1572497047.204,36.133,46.387,-315.430,33.203,24.414
1572497047.208,28.809,39.062,-341.309,24.902,6.348
