timestamps,TP9,AF7,AF8,TP10,Right AUX
1572496337.035,54.688,-80.566,-205.078,26.855,22.461
1572496337.039,55.664,-16.602,-178.711,18.066,19.531
1572496337.043,61.035,298.828,297.852,16.602,37.598
1572496337.047,65.430,183.105,288.574,31.250,5.859
1572496337.051,56.641,75.684,179.688,36.621,11.719
1572496337.055,52.246,89.355,169.922,33.203,27.832
1572496337.059,48.340,78.613,88.867,34.668,33.203
1572496337.062,43.457,22.949,-49.316,28.809,39.062
1572496337.066,36.133,-143.555,-406.738,23.438,4.395
1572496337.070,25.391,-14.648,-408.691,25.879,5.859
1572496337.074,23.438,129.395,-213.867,31.738,42.480
1572496337.078,27.832,0.488,-368.652,31.250,37.598
1572496337.082,31.738,-82.520,-550.293,28.809,14.648
1572496337.086,33.691,-58.105,-584.473,30.762,8.789
1572496337.090,32.227,-59.570,-686.035,33.203,0.488
1572496337.094,32.227,-201.660,-877.441,33.203,-32.227
1572496337.098,29.297,-301.758,-979.004,24.902,-20.996
1572496337.102,22.461,-71.289,-957.520,20.020,13.672
1572496337.105,18.066,37.598,-945.312,24.414,16.602
1572496337.109,23.926,-52.246,-967.773,29.785,-12.695
1572496337.113,36.133,-19.531,-968.262,38.574,-6.348
1572496337.117,28.809,17.090,-964.355,37.109,0.488
1572496337.121,20.508,-4.883,-970.703,30.762,2.930
1572496337.125,25.879,-45.898,-970.215,24.414,16.113
1572496337.129,30.273,-5.859,-969.727,23.438,17.578
1572496337.133,30.273,47.852,-970.703,30.273,28.809
1572496337.137,36.621,-2.930,-963.379,34.668,22.949
1572496337.141,37.109,-160.156,-980.469,34.180,0.977
1572496337.144,27.344,-38.086,-928.711,27.344,16.602
1572496337.148,32.227,172.363,-763.672,25.391,66.895
1572496337.152,46.387,30.762,-826.660,36.621,36.133
1572496337.156,44.922,-27.344,-923.340,38.574,7.324
1572496337.160,47.852,60.547,-818.848,38.086,18.555
1572496337.164,61.523,87.402,-748.535,41.504,20.020
1572496337.168,54.199,-32.227,-823.730,41.504,12.695
1572496337.172,44.434,-131.348,-949.219,34.668,-17.090
1572496337.176,50.293,119.141,-707.520,25.391,11.719
1572496337.180,49.316,263.672,-384.766,21.973,31.738
1572496337.184,34.668,126.465,-441.406,23.926,-0.488
1572496337.187,27.344,114.258,-432.129,33.691,2.441
1572496337.191,30.273,226.562,-194.824,42.969,42.480
1572496337.195,37.109,122.559,-235.840,43.945,50.293
1572496337.199,42.480,-146.484,-610.840,40.527,10.742
1572496337.203,61.035,-199.707,-811.035,33.691,-11.719
1572496337.207,69.824,95.703,-478.027,35.645,10.254
1572496337.211,60.547,181.152,-244.141,43.457,14.160
1572496337.215,67.383,24.414,-391.602,50.293,-2.441
1572496337.219,61.035,52.734,-369.629,46.875,-4.395
1572496337.223,55.664,159.668,-159.180,43.945,9.277
1572496337.227,47.852,81.543,-155.273,44.922,17.090
1572496337.230,41.504,-72.754,-333.984,30.762,7.324
1572496337.234,46.387,-44.434,-350.586,23.926,11.230
1572496337.238,47.363,73.730,-164.551,22.461,16.602
1572496337.242,42.969,-25.879,-202.148,30.273,14.648
1572496337.246,42.969,-181.641,-419.922,36.621,19.531
1572496337.250,43.457,-104.004,-366.211,26.367,-9.277
1572496337.254,36.621,5.371,-171.387,23.438,-15.137
1572496337.258,31.738,-35.156,-138.672,23.926,2.441
1572496337.262,31.738,-55.664,-140.625,18.066,0.000
1572496337.266,31.738,64.453,57.129,25.879,35.645
1572496337.269,29.785,61.523,131.836,30.273,17.578
1572496337.273,28.320,-125.488,-92.773,21.973,-30.273
1572496337.277,40.039,-157.715,-226.074,27.832,-28.320
1572496337.281,34.668,148.926,172.852,36.133,-6.348
1572496337.285,27.832,218.262,438.965,29.297,0.488
1572496337.289,35.156,56.641,314.453,40.039,-0.488
1572496337.293,40.527,24.902,264.160,52.246,2.930
1572496337.297,33.203,67.871,344.238,34.180,-4.883
1572496337.301,29.785,-20.508,242.676,31.738,-42.969
1572496337.305,34.180,-80.566,123.047,41.016,-38.086
1572496337.309,20.996,-27.832,145.508,27.344,-28.809
1572496337.312,15.625,35.156,255.371,14.160,-16.602
1572496337.316,27.832,-81.543,124.023,24.902,-53.711
1572496337.320,34.668,-170.410,-81.055,32.715,-80.566
1572496337.324,25.391,-43.457,17.090,25.391,-48.828
1572496337.328,22.461,61.523,200.195,23.926,-26.855
1572496337.332,26.367,-24.902,177.246,26.855,-25.879
1572496337.336,35.645,-118.164,83.984,33.203,-34.180
1572496337.340,34.180,-49.316,180.176,31.738,-33.691
1572496337.344,29.785,-33.203,268.555,22.461,-40.527
1572496337.348,35.156,-135.742,223.633,28.809,-32.715
1572496337.352,33.691,-292.480,-9.766,22.461,-56.641
1572496337.355,36.621,-170.410,99.609,23.438,-49.805
1572496337.359,42.969,-48.340,339.844,26.367,-20.020
1572496337.363,44.922,-146.484,250.977,23.926,-31.738
1572496337.367,52.246,-156.250,253.906,33.203,-18.066
1572496337.371,60.059,-118.652,356.445,35.645,-5.859
1572496337.375,57.617,-149.414,347.168,31.250,-29.297
1572496337.379,61.035,-301.758,154.785,30.762,-37.109
1572496337.383,68.359,-383.301,-43.945,37.109,-39.062
1572496337.387,67.871,-191.406,133.301,34.668,-42.480
1572496337.391,53.223,-147.949,231.445,21.973,-31.738
1572496337.394,45.898,-201.660,149.414,29.297,-27.344
1572496337.398,42.480,-179.199,131.836,25.879,-28.320
1572496337.402,38.574,-160.645,105.469,14.648,-36.621
1572496337.406,39.062,-177.246,6.836,26.367,-53.223
1572496337.410,36.133,-306.152,-284.180,30.273,-52.246
1572496337.414,41.992,-293.945,-456.543,31.250,-63.477
1572496337.418,47.363,-32.715,-176.270,26.367,-20.020
1572496337.422,38.574,-64.941,-197.754,24.902,-7.812
1572496337.426,33.203,-137.207,-365.723,20.508,-16.113
1572496337.430,34.668,-75.684,-366.699,18.555,-14.160
1572496337.434,35.156,-51.270,-388.184,20.020,-12.695
1572496337.437,37.109,-126.953,-542.969,20.996,-3.418
1572496337.441,41.016,-201.660,-773.438,19.531,-33.691
1572496337.445,39.062,-81.543,-745.605,18.066,-33.691
1572496337.449,27.832,5.371,-729.492,19.531,-11.230
1572496337.453,26.855,-99.609,-862.793,24.902,-9.766
1572496337.457,34.668,-190.918,-975.098,29.785,-20.996
1572496337.461,35.645,-36.621,-968.262,21.484,-19.531
1572496337.465,29.297,37.598,-967.773,20.508,-20.996
1572496337.469,28.809,-44.922,-970.703,17.578,-31.738
1572496337.473,21.973,-44.434,-970.215,10.254,-43.945
1572496337.477,17.578,89.844,-970.703,10.254,-3.418
1572496337.480,28.320,111.328,-969.238,15.625,18.555
1572496337.484,30.273,-19.531,-966.309,20.508,0.000
1572496337.488,17.578,-18.066,-972.168,20.020,-8.789
1572496337.492,4.883,168.945,-872.559,14.648,-8.789
1572496337.496,3.418,175.293,-723.145,21.484,-9.277
1572496337.500,5.859,127.441,-695.312,32.227,-8.789
1572496337.504,-3.906,181.152,-562.012,27.832,3.906
1572496337.508,2.930,204.102,-442.383,28.320,-11.230
1572496337.512,22.949,216.797,-301.758,30.762,33.203
1572496337.516,40.039,65.918,-439.941,29.785,60.059
1572496337.519,50.293,118.652,-397.461,28.320,65.430
1572496337.523,45.410,290.527,-89.355,20.996,91.797
1572496337.527,47.852,131.348,-232.422,19.531,77.637
1572496337.531,49.316,34.668,-371.582,24.902,70.801
1572496337.535,42.480,87.402,-320.312,24.902,60.059
1572496337.539,37.109,112.793,-262.695,30.762,50.293
1572496337.543,35.645,-16.602,-394.531,31.738,22.949
1572496337.547,45.898,-161.621,-657.227,25.879,13.184
1572496337.551,33.203,59.570,-422.852,24.414,32.715
1572496337.555,14.160,250.977,-28.809,25.879,39.551
1572496337.559,28.809,34.668,-192.383,30.762,35.156
1572496337.562,26.367,-110.840,-440.918,27.344,22.461
1572496337.566,22.461,131.348,-126.465,19.531,40.527
1572496337.570,26.367,78.125,-90.332,33.691,31.738
1572496337.574,31.250,-15.137,-225.586,40.527,25.879
1572496337.578,48.828,122.559,-12.695,28.809,43.457
1572496337.582,51.270,135.254,102.539,27.344,22.949
1572496337.586,44.434,110.352,150.879,22.949,21.484
1572496337.590,58.105,-137.207,-173.828,21.484,-0.977
1572496337.594,62.988,-172.363,-349.609,17.578,-26.367
1572496337.598,53.223,159.668,110.352,16.113,22.949
1572496337.602,48.340,105.957,179.688,23.438,25.391
1572496337.605,40.527,-48.828,-30.762,20.508,8.301
1572496337.609,37.598,33.203,34.668,16.113,8.789
1572496337.613,40.039,107.422,199.707,20.508,12.695
1572496337.617,36.621,-22.461,109.375,24.414,39.062
1572496337.621,37.598,-203.613,-213.379,20.996,30.273
1572496337.625,30.273,-20.996,-50.293,8.789,36.621
1572496337.629,30.762,110.352,215.820,15.625,43.945
1572496337.633,41.504,-13.672,88.379,30.762,29.785
1572496337.637,30.273,-32.715,28.320,21.973,17.578
1572496337.641,24.902,39.062,122.559,21.973,15.625
1572496337.644,29.785,119.629,291.992,27.832,69.824
1572496337.648,40.527,-55.664,88.867,26.855,61.523
1572496337.652,39.062,-306.641,-428.223,23.438,-33.203
1572496337.656,20.020,-47.363,-201.172,18.066,-7.324
1572496337.660,18.555,93.750,106.934,18.555,35.645
1572496337.664,14.648,-75.684,-114.746,10.742,20.508
1572496337.668,13.184,-101.562,-251.953,7.812,9.277
1572496337.672,10.742,13.672,-123.535,5.859,4.395
1572496337.676,9.277,50.293,-7.812,9.766,36.621
1572496337.680,24.902,-111.816,-241.699,17.090,34.180
1572496337.684,25.391,-151.855,-407.715,18.555,15.137
1572496337.687,23.438,30.273,-159.668,20.508,43.457
1572496337.691,31.250,39.062,-47.852,26.855,50.293
1572496337.695,32.715,-222.656,-433.105,23.926,7.812
1572496337.699,31.250,-157.227,-469.238,14.648,16.602
1572496337.703,38.086,75.684,-95.703,26.367,41.992
1572496337.707,41.504,-36.621,-150.879,30.762,19.043
1572496337.711,40.527,-125.488,-283.203,20.020,34.180
1572496337.715,36.621,-88.867,-278.809,20.508,42.969
1572496337.719,28.809,20.020,-118.164,18.066,38.086
1572496337.723,26.367,-35.645,-100.098,19.043,42.480
1572496337.727,33.691,-234.863,-413.574,21.973,14.648
1572496337.730,31.250,-68.848,-275.879,12.207,4.883
1572496337.734,28.809,101.562,61.523,15.625,19.531
1572496337.738,38.086,-37.109,-24.414,23.926,30.762
1572496337.742,42.969,-182.129,-257.812,21.484,-0.488
1572496337.746,46.387,-23.438,-65.918,19.531,3.418
1572496337.750,41.016,98.145,217.285,25.391,49.805
1572496337.754,41.992,-46.875,90.820,30.762,43.457
1572496337.758,51.758,-150.879,-89.844,30.273,34.668
1572496337.762,40.527,-94.238,-37.598,29.297,32.715
1572496337.766,25.879,-45.898,65.918,32.715,15.137
1572496337.769,34.180,-66.406,75.684,35.645,23.926
1572496337.773,41.504,-65.918,78.125,37.109,24.902
1572496337.777,38.086,-22.461,164.062,33.691,20.020
1572496337.781,34.180,-82.520,121.094,32.715,19.043
1572496337.785,34.668,-182.129,-55.176,36.133,2.441
1572496337.789,30.762,-100.098,5.859,34.668,22.949
1572496337.793,31.738,-38.574,134.766,33.691,37.109
1572496337.797,32.227,-164.062,-14.160,34.668,6.348
1572496337.801,25.391,-415.527,-473.145,31.738,-30.762
1572496337.805,22.461,-333.496,-533.203,27.832,-12.207
1572496337.809,20.996,-68.359,-171.875,27.832,41.992
1572496337.812,20.508,-125.977,-179.688,28.809,32.715
