timestamps,TP9,AF7,AF8,TP10,Right AUX
1571283174.956,56.641,-371.582,-463.379,38.086,6.836
1571283174.960,46.875,-354.980,-412.598,51.758,55.664
1571283174.964,34.668,31.250,-55.664,64.453,73.730
1571283174.968,38.086,252.930,82.031,49.805,43.945
1571283174.971,48.340,-54.688,-225.586,31.738,8.789
1571283174.975,47.852,-461.914,-512.207,39.062,21.973
1571283174.979,41.992,-299.805,-286.621,57.129,64.453
1571283174.983,41.016,54.199,0.488,47.363,69.336
1571283174.987,52.734,-38.086,-141.602,31.250,21.973
1571283174.991,60.547,-647.949,-607.910,35.156,-12.695
1571283174.995,41.504,-473.145,-367.188,43.457,25.391
1571283174.999,36.133,328.613,270.996,45.898,47.363
1571283175.003,46.387,229.980,129.395,30.273,9.766
1571283175.007,52.734,-134.766,-164.062,18.555,28.809
1571283175.011,40.039,173.828,145.508,27.344,79.102
1571283175.014,38.086,692.383,602.051,47.363,95.215
1571283175.018,59.082,568.359,480.957,50.781,50.293
1571283175.022,61.035,-188.477,-133.301,33.691,-12.695
1571283175.026,35.645,-427.246,-240.723,27.344,12.207
1571283175.030,18.555,262.207,375.000,40.039,77.148
1571283175.034,43.457,411.133,473.145,51.270,56.152
1571283175.038,62.988,-395.020,-179.199,34.668,-0.977
1571283175.042,51.270,-633.301,-330.078,26.367,1.465
1571283175.046,35.156,-41.016,182.129,37.598,46.387
1571283175.050,33.203,328.613,456.543,37.109,49.316
1571283175.053,42.969,90.332,198.730,23.438,-1.953
1571283175.057,37.598,-38.574,71.777,19.043,6.348
1571283175.061,28.809,349.609,425.781,35.156,74.219
1571283175.065,28.320,594.238,637.695,41.992,82.520
1571283175.069,35.156,197.754,283.203,27.832,27.832
1571283175.073,41.504,-430.176,-245.117,17.090,-15.625
1571283175.077,29.297,-383.301,-163.086,24.902,0.488
1571283175.081,25.391,-177.734,47.852,43.457,48.340
1571283175.085,33.691,-225.586,-33.691,39.062,30.273
1571283175.089,39.551,-207.031,-124.512,25.391,-27.344
1571283175.093,39.062,-175.293,-104.492,32.227,7.324
1571283175.096,33.203,13.184,92.285,47.852,45.898
1571283175.100,28.809,218.262,220.215,39.062,24.902
1571283175.104,36.133,177.246,96.191,23.926,5.371
1571283175.108,43.945,-234.863,-243.164,35.645,-16.113
1571283175.112,34.180,3.906,21.484,49.805,41.016
1571283175.116,36.621,258.789,231.934,51.758,52.246
1571283175.120,45.898,-95.215,-102.539,30.762,16.113
1571283175.124,52.734,-484.375,-427.734,27.344,21.484
1571283175.128,47.363,-635.742,-478.027,50.293,25.391
1571283175.132,32.715,-52.246,12.207,48.828,55.176
1571283175.136,41.992,327.637,219.238,39.551,45.898
1571283175.139,54.199,-134.277,-213.867,31.738,5.371
1571283175.143,43.457,-214.355,-229.980,38.086,17.090
1571283175.147,28.809,385.254,289.062,54.688,61.523
1571283175.151,38.086,550.781,372.070,47.852,53.223
1571283175.155,49.316,-75.195,-176.758,30.762,-9.766
1571283175.159,43.457,-309.082,-320.312,34.180,-8.301
1571283175.163,31.738,76.660,59.570,49.316,52.734
1571283175.167,30.762,262.207,205.566,45.410,63.965
1571283175.171,42.969,-43.945,-93.262,27.832,13.672
1571283175.175,36.621,-289.551,-287.109,19.043,-1.953
1571283175.178,25.391,259.766,210.938,31.250,62.500
1571283175.182,24.414,787.109,633.301,39.551,101.074
1571283175.186,41.016,71.289,29.785,30.762,17.578
1571283175.190,49.805,-616.211,-493.164,17.578,-36.621
1571283175.194,31.250,47.852,90.332,22.949,32.227
1571283175.198,28.809,524.414,486.816,42.969,59.570
1571283175.202,30.762,343.262,312.012,29.297,20.508
1571283175.206,31.250,68.848,62.988,9.766,-11.719
1571283175.210,26.855,-50.293,32.227,26.367,-8.789
1571283175.214,19.531,76.660,228.516,44.922,26.855
1571283175.218,26.367,-117.188,94.727,33.203,3.906
1571283175.221,27.344,-192.383,-8.789,7.324,-20.508
1571283175.225,22.949,219.238,305.664,13.184,23.438
1571283175.229,20.508,439.453,532.227,39.062,35.156
1571283175.233,22.461,489.258,583.008,40.527,5.859
1571283175.237,34.180,431.152,479.980,23.926,-27.344
1571283175.241,41.504,201.660,290.039,24.902,-29.785
1571283175.245,25.391,436.523,559.082,35.645,51.758
1571283175.249,23.926,807.129,876.953,41.504,83.496
1571283175.253,42.480,641.602,677.734,26.367,-1.465
1571283175.257,52.734,44.434,196.289,21.973,-27.832
1571283175.261,36.133,-256.836,62.500,40.527,32.715
1571283175.264,17.578,-47.852,281.738,46.387,52.246
1571283175.268,16.602,256.348,447.754,24.902,22.461
1571283175.272,34.668,53.711,198.242,17.090,-19.043
1571283175.276,41.504,-142.090,74.219,41.992,-23.926
1571283175.280,18.066,350.098,524.414,48.340,41.504
1571283175.284,14.648,731.445,781.738,38.574,54.199
1571283175.288,34.180,285.645,358.398,29.785,3.906
1571283175.292,33.691,-63.965,100.098,29.297,28.320
1571283175.296,12.695,396.973,516.113,40.527,91.309
1571283175.300,11.230,760.254,775.879,39.551,95.215
1571283175.303,40.527,121.094,207.520,30.273,28.809
1571283175.307,46.387,-826.172,-557.129,20.996,-16.602
1571283175.311,16.602,-471.191,-221.680,21.484,29.785
1571283175.315,17.578,292.969,365.234,34.180,78.125
1571283175.319,38.086,152.344,152.344,25.391,62.500
1571283175.323,45.410,-428.711,-364.258,16.602,30.762
1571283175.327,33.203,-392.578,-302.734,26.855,48.340
1571283175.331,16.602,183.594,171.875,35.156,91.797
1571283175.335,25.879,156.738,88.867,27.344,48.340
1571283175.339,42.969,-330.566,-354.492,11.230,14.160
1571283175.343,36.133,-334.473,-346.680,14.648,35.645
1571283175.346,23.926,136.230,64.941,33.691,84.961
1571283175.350,34.180,144.531,51.270,34.668,81.543
1571283175.354,38.574,-515.625,-522.461,17.090,8.301
1571283175.358,26.367,-615.723,-586.426,8.789,26.367
1571283175.362,20.020,-65.918,-109.863,26.367,65.918
1571283175.366,32.715,-143.555,-155.273,36.133,51.270
1571283175.370,40.527,-445.801,-427.734,16.113,20.996
1571283175.374,28.320,-247.559,-305.664,5.859,47.852
1571283175.378,27.832,-27.344,-87.402,29.785,67.871
1571283175.382,23.438,227.051,157.227,38.574,82.520
1571283175.386,22.949,321.289,193.848,16.602,60.059
1571283175.389,41.992,-18.555,-121.094,13.184,2.441
1571283175.393,38.086,-103.027,-125.000,32.715,27.832
1571283175.397,27.344,127.930,131.836,47.363,77.637
1571283175.401,34.180,52.734,53.223,30.762,31.738
1571283175.405,38.574,-179.199,-179.688,7.812,-12.695
1571283175.409,36.621,-303.711,-247.559,17.578,4.395
1571283175.413,29.297,-22.949,52.246,31.250,39.551
1571283175.417,18.555,405.762,384.277,18.555,46.875
1571283175.421,23.438,330.566,257.324,1.465,26.367
1571283175.425,40.527,-183.105,-130.859,12.207,24.902
