timestamps,TP9,AF7,AF8,TP10,Right AUX
1569100369.147,-15.625,-970.215,175.293,63.965,55.664
1569100369.151,3.418,-970.215,-293.945,75.684,87.891
1569100369.155,-13.184,-970.215,478.516,66.895,47.852
1569100369.158,-18.555,-970.215,-932.129,64.941,-4.395
1569100369.162,0.488,-970.215,511.719,38.574,38.574
1569100369.166,15.137,-970.215,-330.566,6.836,81.055
1569100369.170,5.859,-970.215,206.543,-14.648,31.738
1569100369.174,4.883,-970.215,-880.859,-12.695,-33.203
1569100369.178,26.855,-969.727,481.445,6.348,-39.062
1569100369.182,31.250,-970.215,-327.148,3.906,55.176
1569100369.186,6.836,-971.680,289.551,-7.812,57.129
1569100369.190,-15.137,-953.613,-983.887,-11.230,-10.742
1569100369.194,-3.906,-959.961,937.500,1.465,7.324
1569100369.197,15.625,-969.727,257.812,18.066,81.543
1569100369.201,4.395,-980.469,223.145,15.625,98.145
1569100369.205,-7.324,-916.992,898.438,0.488,19.043
1569100369.209,17.090,-906.250,-965.820,13.184,6.348
1569100369.213,48.828,-977.051,367.676,48.340,46.875
1569100369.217,38.574,-972.656,-160.156,51.758,48.340
1569100369.221,13.672,-959.473,552.734,19.531,0.977
1569100369.225,25.879,-944.336,-884.766,29.297,-9.277
1569100369.229,42.969,-968.750,740.723,51.270,32.715
1569100369.233,36.133,-971.680,195.312,47.363,66.406
1569100369.237,19.531,-968.750,521.973,30.762,27.344
1569100369.240,11.719,-970.215,-973.633,30.273,-26.855
1569100369.244,27.832,-970.215,916.016,46.387,0.000
1569100369.248,48.340,-970.215,365.723,59.570,63.477
1569100369.252,36.621,-970.215,503.906,40.527,79.102
1569100369.256,34.668,-970.215,-971.191,29.297,14.160
1569100369.260,47.363,-970.703,-994.141,43.457,-4.395
1569100369.264,27.344,-961.914,426.758,39.551,73.730
1569100369.268,26.367,-994.141,263.672,37.598,59.082
1569100369.272,29.785,-870.605,920.410,42.480,-2.930
1569100369.276,32.715,-824.219,-952.637,40.527,-11.230
1569100369.280,37.598,-963.867,435.547,39.551,32.227
1569100369.283,27.344,-1000.000,259.766,29.785,68.848
1569100369.287,21.484,-873.535,857.910,19.043,35.645
1569100369.291,20.996,-656.250,-925.293,29.785,-2.441
1569100369.295,34.180,-869.629,822.754,48.340,35.645
1569100369.299,39.062,-1000.000,418.457,39.062,90.332
1569100369.303,29.297,-898.926,739.258,14.648,98.633
1569100369.307,27.832,-818.359,-957.031,25.391,20.020
1569100369.311,46.387,-942.871,969.238,63.477,0.488
1569100369.315,67.871,-978.027,469.238,88.379,58.594
1569100369.319,44.922,-977.539,220.215,62.500,29.785
1569100369.322,6.348,-886.230,827.148,24.414,-23.438
1569100369.326,11.719,-884.277,-933.594,48.340,-18.555
1569100369.330,37.598,-971.191,526.367,72.266,44.434
1569100369.334,42.969,-1000.000,250.977,50.781,58.594
1569100369.338,37.109,-841.309,762.207,37.109,24.414
1569100369.342,44.434,-743.652,-931.152,44.922,-0.488
1569100369.346,41.504,-968.750,661.621,40.039,40.039
1569100369.350,18.066,-978.516,170.410,27.344,94.727
1569100369.354,8.301,-961.426,552.246,16.113,36.621
1569100369.358,18.555,-974.121,-936.035,21.973,-29.785
1569100369.362,21.484,-959.473,797.852,34.180,11.230
1569100369.365,15.625,-975.098,180.664,27.832,82.520
1569100369.369,0.977,-966.309,422.852,26.367,51.758
1569100369.373,3.906,-520.508,-919.434,40.039,0.000
1569100369.377,34.668,-575.195,736.328,55.176,2.441
1569100369.381,38.574,-997.559,-94.238,55.176,52.734
1569100369.385,25.391,-995.117,156.738,47.852,60.547
1569100369.389,12.207,-400.879,868.652,47.852,-12.207
1569100369.393,5.371,101.074,-931.152,64.941,-7.324
1569100369.397,29.785,-558.105,487.793,92.773,56.641
1569100369.401,41.016,-1000.000,-113.281,99.609,34.668
1569100369.404,24.414,-598.633,505.859,67.383,-8.301
1569100369.408,25.391,210.449,-915.527,37.109,-16.113
1569100369.412,40.527,-61.523,764.648,46.387,36.133
1569100369.416,48.340,-901.367,-61.035,54.199,87.402
1569100369.420,26.367,-805.664,17.578,29.297,22.949
1569100369.424,19.531,301.758,929.199,24.902,-26.855
1569100369.428,38.574,485.840,877.441,45.898,26.367
1569100369.432,47.363,-483.887,91.309,47.852,91.797
1569100369.436,42.969,-754.395,-36.621,45.898,51.758
1569100369.440,39.062,198.730,713.867,36.133,0.488
1569100369.444,25.391,691.406,938.965,42.969,0.488
1569100369.447,15.137,-416.504,-14.648,55.664,45.410
1569100369.451,17.578,-914.551,-361.328,42.969,63.477
1569100369.455,9.766,121.094,554.688,31.738,19.043
1569100369.459,15.625,815.918,-994.629,26.367,8.301
1569100369.463,24.902,229.980,383.301,44.434,68.848
1569100369.467,12.695,-401.855,-109.375,52.734,109.863
1569100369.471,-2.930,325.195,520.996,41.992,44.922
1569100369.475,6.836,-903.320,-912.109,44.434,-16.602
1569100369.479,34.180,366.699,418.457,54.199,42.969
1569100369.483,27.832,-578.125,-377.930,42.969,75.195
1569100369.487,10.254,-8.301,113.770,35.645,18.066
1569100369.490,10.742,973.633,961.426,53.711,-24.902
1569100369.494,14.648,895.508,756.836,68.848,13.672
1569100369.498,21.484,-409.180,-429.199,69.824,48.340
1569100369.502,9.766,-371.582,-380.859,49.316,42.969
1569100369.506,8.301,922.852,815.918,44.434,6.836
1569100369.510,23.926,-925.781,-998.047,67.871,-8.789
1569100369.514,39.062,774.414,354.980,72.754,61.035
1569100369.518,30.762,629.883,45.898,52.246,71.777
1569100369.522,5.859,966.797,702.637,42.480,1.465
1569100369.526,16.113,-964.355,-911.133,47.363,-18.066
1569100369.529,32.227,936.035,564.453,51.270,35.645
1569100369.533,16.602,907.715,144.531,63.477,83.008
1569100369.537,10.742,997.070,653.320,55.664,44.434
1569100369.541,24.414,-994.141,-917.969,50.781,-16.602
1569100369.545,15.137,994.629,710.449,62.500,25.879
1569100369.549,4.883,958.496,55.664,48.340,81.543
1569100369.553,1.465,983.398,421.875,35.645,47.852
1569100369.557,7.812,-994.141,-952.148,41.504,-33.203
1569100369.561,18.066,996.094,939.453,46.875,8.301
1569100369.565,19.043,-999.512,398.438,46.875,90.332
1569100369.569,-2.930,999.512,443.359,35.156,72.754
1569100369.572,-18.555,999.512,-990.234,33.691,9.766
1569100369.576,-0.488,999.512,909.180,47.852,-19.043
1569100369.580,12.207,999.512,372.070,57.129,44.922
