timestamps,TP9,AF7,AF8,TP10,Right AUX
1571283369.300,28.320,-189.941,31.250,15.137,28.320
1571283369.303,34.668,-218.262,-12.695,0.000,-24.902
1571283369.307,36.133,-106.934,92.285,4.883,14.160
1571283369.311,35.156,-11.230,207.520,23.926,77.637
1571283369.315,33.691,-24.902,202.148,22.949,64.941
1571283369.319,36.133,-289.062,-20.508,5.371,13.184
1571283369.323,33.691,-438.965,-129.883,2.930,8.301
1571283369.327,40.039,-513.184,-160.645,20.020,26.855
1571283369.331,49.316,-724.121,-314.941,25.879,30.273
1571283369.335,40.527,-354.980,-56.152,6.348,28.320
1571283369.339,34.180,-172.852,48.340,3.906,-0.488
1571283369.343,31.738,-250.488,10.742,26.367,12.207
1571283369.346,28.809,-109.375,147.949,33.691,66.895
1571283369.350,33.203,-11.719,197.754,17.578,31.738
1571283369.354,39.062,-205.566,32.227,15.137,-14.160
1571283369.358,41.504,-337.891,-36.621,34.668,2.930
1571283369.362,35.645,-148.926,144.043,41.016,54.199
1571283369.366,34.668,-198.242,94.238,33.203,45.410
1571283369.370,38.574,-593.262,-233.887,25.391,-18.066
1571283369.374,39.062,-922.363,-522.949,23.438,-37.109
1571283369.378,29.297,-622.070,-261.719,26.855,27.344
1571283369.382,29.297,43.945,282.227,31.738,97.168
1571283369.386,45.898,-127.441,104.004,34.668,41.016
1571283369.389,35.156,-395.508,-94.727,28.320,6.836
1571283369.393,24.414,-102.539,165.039,33.203,41.504
1571283369.397,29.785,95.215,322.266,41.992,72.266
1571283369.401,33.203,-124.512,128.418,27.344,36.621
1571283369.405,35.156,-392.090,-83.496,17.578,-10.254
1571283369.409,30.762,-173.828,124.023,29.297,44.922
1571283369.413,29.785,-45.898,262.207,39.551,116.211
1571283369.417,35.645,-553.711,-166.016,28.320,40.527
1571283369.421,34.668,-953.613,-537.598,10.742,-36.133
1571283369.425,20.996,-533.691,-160.645,11.230,17.578
1571283369.428,18.555,-11.230,272.461,34.180,96.680
1571283369.432,26.855,-72.754,193.848,23.926,75.195
1571283369.436,29.785,-211.426,64.941,4.883,31.738
1571283369.440,24.902,-210.449,67.383,15.137,22.949
1571283369.444,24.414,-175.781,130.371,28.320,79.590
1571283369.448,30.273,-166.016,146.973,21.973,87.891
1571283369.452,29.785,-291.504,19.043,5.859,15.137
1571283369.456,23.926,-272.461,31.738,11.719,14.648
1571283369.460,27.344,-297.852,47.852,31.250,66.406
1571283369.464,33.691,-721.680,-266.602,36.621,70.312
1571283369.468,24.414,-744.629,-300.293,18.066,37.109
1571283369.471,25.879,-305.664,12.695,11.230,31.738
1571283369.475,34.180,-173.340,128.906,32.227,68.359
1571283369.479,30.762,-202.637,129.395,41.016,73.242
1571283369.483,27.832,-141.113,167.480,24.902,40.527
1571283369.487,30.762,-138.184,151.367,16.113,21.973
1571283369.491,33.203,-279.297,56.641,27.832,16.602
1571283369.495,35.645,-151.855,200.195,40.527,84.961
1571283369.499,38.574,-112.305,229.004,36.133,86.426
1571283369.503,35.156,-313.477,51.758,18.066,-2.441
1571283369.507,38.086,-704.590,-279.297,16.113,-52.246
1571283369.511,28.320,-786.621,-301.758,20.508,20.020
1571283369.514,21.973,-227.539,166.016,10.742,89.844
1571283369.518,26.855,-159.668,147.949,-6.348,7.812
1571283369.522,21.973,-359.863,-8.789,-16.113,0.488
1571283369.526,20.020,-313.965,62.500,1.465,41.016
1571283369.530,15.625,-123.535,223.145,9.766,71.289
1571283369.534,17.578,-97.656,222.656,-9.766,56.152
1571283369.538,30.762,-392.578,-29.297,-10.742,-10.742
1571283369.542,28.809,-382.812,8.789,1.465,8.301
1571283369.546,28.809,-54.688,289.062,14.648,75.684
1571283369.550,42.969,-86.914,252.930,20.996,58.594
1571283369.553,45.410,-467.285,-59.570,13.672,4.395
1571283369.557,35.156,-708.496,-235.840,18.555,-17.090
1571283369.561,31.738,-550.293,-87.402,41.016,38.574
1571283369.565,35.156,-485.352,-45.898,41.992,52.246
1571283369.569,33.203,-873.535,-437.500,21.973,-28.809
1571283369.573,20.020,-743.164,-333.008,9.277,-15.625
1571283369.577,16.113,-88.867,236.816,25.879,68.848
1571283369.581,20.996,-106.445,198.730,36.133,49.805
1571283369.585,24.414,-359.375,-12.207,20.508,-8.789
1571283369.589,25.391,-311.035,27.344,12.695,-23.438
1571283369.593,27.344,-134.277,189.941,28.809,20.020
1571283369.596,25.391,-83.008,257.812,38.574,66.406
1571283369.600,23.926,-333.984,51.758,20.996,36.133
1571283369.604,25.391,-586.914,-163.574,9.766,0.000
1571283369.608,21.484,-397.949,-1.953,15.137,29.297
1571283369.612,28.809,-438.477,-23.438,30.762,54.688
1571283369.616,26.855,-734.863,-259.277,21.484,35.156
1571283369.620,20.020,-380.371,-8.301,0.977,21.484
1571283369.624,22.949,-125.977,179.688,7.324,19.531
1571283369.628,26.855,-47.852,283.691,26.367,84.961
1571283369.632,26.367,5.859,335.449,24.414,87.402
1571283369.636,18.555,-60.547,256.348,6.836,9.766
1571283369.639,24.902,-253.906,106.445,15.625,-26.367
1571283369.643,23.926,-274.414,127.930,29.785,20.508
1571283369.647,25.879,-300.293,126.465,34.180,63.965
1571283369.651,40.039,-484.375,-41.016,32.227,9.766
1571283369.655,37.109,-479.980,-52.734,24.414,-15.625
1571283369.659,30.273,-680.664,-175.781,31.250,31.250
1571283369.663,25.391,-509.766,-20.020,34.180,68.848
1571283369.667,30.762,-210.938,170.898,29.297,37.109
1571283369.671,49.316,-546.387,-118.652,35.645,-13.184
1571283369.675,39.551,-471.680,-36.133,35.156,14.648
1571283369.678,23.438,-52.246,302.246,38.574,68.848
1571283369.682,32.715,15.137,331.055,37.598,42.480
1571283369.686,43.945,-290.527,66.406,22.949,-20.020
1571283369.690,39.551,-392.578,0.000,22.949,-20.508
