timestamps,TP9,AF7,AF8,TP10,Right AUX
1571285610.581,141.113,-970.215,-988.770,21.484,-629.883
1571285610.585,200.684,-970.215,-951.660,98.633,-620.117
1571285610.589,238.281,-970.703,-759.277,202.148,-516.602
1571285610.593,190.430,-967.285,-815.918,115.723,-538.086
1571285610.596,123.535,-972.656,-988.281,-4.395,-649.414
1571285610.600,131.348,-971.191,-975.586,24.902,-662.109
1571285610.604,193.359,-891.113,-915.039,121.582,-573.730
1571285610.608,166.992,-916.504,-912.109,90.820,-559.570
1571285610.612,92.285,-979.004,-973.633,-38.086,-630.859
1571285610.616,106.445,-770.508,-981.934,-55.176,-654.785
1571285610.620,163.574,-443.359,-850.586,78.613,-591.309
1571285610.624,126.953,-378.418,-679.688,63.477,-524.414
1571285610.628,26.855,-453.613,-777.832,-100.098,-589.844
1571285610.632,8.789,-449.707,-930.176,-145.508,-663.086
1571285610.636,68.848,-444.336,-892.578,-36.621,-619.629
1571285610.639,118.652,-303.711,-712.402,50.781,-556.152
1571285610.643,72.266,-177.734,-661.621,-35.645,-589.844
1571285610.647,27.832,-261.230,-897.461,-110.840,-666.992
1571285610.651,72.754,-373.535,-996.582,-44.434,-664.062
1571285610.655,130.371,-518.555,-928.711,57.617,-603.516
1571285610.659,93.750,-613.770,-763.672,-20.020,-580.566
1571285610.663,35.645,-735.840,-814.941,-117.188,-652.832
1571285610.667,62.500,-896.484,-983.398,-89.355,-694.824
1571285610.671,149.902,-975.098,-862.305,19.531,-636.719
1571285610.675,134.766,-965.332,-677.734,28.320,-601.562
1571285610.678,61.523,-968.750,-804.688,-109.863,-659.180
1571285610.682,79.590,-975.098,-992.188,-124.512,-720.703
1571285610.686,161.133,-920.898,-830.566,33.203,-648.926
1571285610.690,163.086,-922.363,-637.207,61.523,-581.543
1571285610.694,75.684,-976.074,-853.027,-68.359,-666.992
1571285610.698,44.434,-968.750,-1000.000,-128.418,-742.676
1571285610.702,76.660,-969.238,-898.438,-62.988,-684.082
1571285610.706,99.121,-970.215,-648.438,-0.488,-577.637
1571285610.710,55.176,-970.215,-755.859,-90.332,-622.559
1571285610.714,7.812,-970.215,-998.047,-169.434,-705.078
1571285610.718,48.828,-970.215,-928.711,-90.820,-675.293
