timestamps,TP9,AF7,AF8,TP10,Right AUX
1571286554.081,-413.574,-970.215,-965.820,-427.734,-15.625
1571286554.085,-248.535,-970.215,-970.215,-310.059,18.555
1571286554.089,-158.691,-970.215,-967.285,-248.535,-1.953
1571286554.093,-243.652,-970.215,-970.703,-281.250,-19.043
1571286554.096,-267.090,-970.215,-970.215,-282.227,23.438
1571286554.100,-149.902,-970.215,-970.215,-213.867,-2.441
1571286554.104,-118.652,-970.215,-970.215,-173.340,-62.500
1571286554.108,-241.699,-970.215,-970.215,-229.492,-59.082
1571286554.112,-359.863,-970.215,-970.215,-308.105,-67.871
1571286554.116,-324.219,-970.215,-970.215,-302.246,11.719
1571286554.120,-273.926,-970.215,-970.215,-268.066,-22.949
1571286554.124,-448.730,-970.215,-970.215,-426.758,-91.797
1571286554.128,-644.531,-971.680,-970.215,-564.453,-20.996
1571286554.132,-639.648,-957.520,-970.215,-588.379,-30.762
1571286554.136,-540.039,-983.887,-970.215,-504.395,-65.430
1571286554.139,-516.602,-897.949,-970.215,-404.785,-40.039
1571286554.143,-589.844,-476.562,-972.168,-446.777,3.418
1571286554.147,-610.840,-453.125,-954.590,-502.930,-17.578
1571286554.151,-478.027,-319.824,-992.188,-407.227,-30.273
1571286554.155,-389.648,563.477,-854.980,-312.500,13.184
1571286554.159,-451.172,-981.934,-419.922,-318.359,-15.137
1571286554.163,-439.941,982.422,-239.746,-258.301,-62.500
1571286554.167,-323.242,991.699,236.816,-167.480,30.762
1571286554.171,-222.168,-997.559,897.949,-57.129,24.414
1571286554.175,-282.715,999.512,-994.629,-35.156,-14.648
1571286554.179,-316.406,999.512,983.887,-67.383,28.809
1571286554.182,-165.527,999.512,-999.023,-18.066,29.297
1571286554.186,-10.254,999.512,999.512,94.727,10.254
1571286554.190,-52.246,999.512,999.512,110.352,28.809
1571286554.194,-150.391,999.512,999.512,73.730,34.668
1571286554.198,-36.621,999.512,999.512,146.973,21.484
1571286554.202,163.574,999.512,999.512,289.062,-34.668
1571286554.206,177.246,999.512,999.512,349.609,-53.223
1571286554.210,44.434,999.512,999.512,296.875,-43.945
1571286554.214,52.734,999.512,999.512,305.176,-75.195
1571286554.218,193.359,999.512,999.512,419.922,-82.520
1571286554.221,249.023,999.512,999.512,482.422,-20.996
1571286554.225,177.734,999.512,999.512,469.238,-11.719
