timestamps,TP9,AF7,AF8,TP10,Right AUX
1571286333.721,200.684,-633.301,-970.215,265.137,-473.145
1571286333.725,137.207,-635.742,-970.215,234.375,-480.469
1571286333.729,31.250,-535.156,-970.215,154.297,-529.297
1571286333.733,66.895,-431.641,-970.215,100.098,-526.367
1571286333.737,192.871,-458.984,-970.215,164.551,-466.797
1571286333.741,187.500,-480.469,-970.215,210.938,-441.895
1571286333.745,83.496,-395.508,-970.215,192.871,-516.113
1571286333.749,90.332,-325.195,-970.215,218.750,-545.410
1571286333.753,208.984,-301.270,-970.215,208.008,-498.047
1571286333.757,223.633,-259.766,-970.215,194.824,-442.383
1571286333.761,45.410,-228.027,-970.215,186.035,-485.352
1571286333.764,-13.184,-188.477,-970.215,113.281,-546.875
1571286333.768,110.352,-105.469,-970.215,114.258,-488.770
1571286333.772,172.363,-21.973,-970.215,184.570,-395.020
1571286333.776,58.594,52.246,-970.215,113.281,-419.922
1571286333.780,-116.211,47.852,-970.215,-42.969,-508.789
1571286333.784,-113.770,73.242,-970.215,-81.055,-498.535
1571286333.788,5.371,126.465,-973.633,-38.574,-404.785
1571286333.792,-56.152,153.809,-956.055,-57.129,-386.230
1571286333.796,-211.426,181.152,-956.055,-63.965,-465.332
1571286333.800,-170.898,203.125,-955.078,-27.832,-495.605
1571286333.804,-51.758,391.602,-179.688,-36.133,-394.531
1571286333.807,-156.738,441.406,826.660,-100.098,-319.336
1571286333.811,-345.215,156.738,-992.188,-188.477,-374.023
1571286333.815,-323.242,-159.180,975.586,-201.172,-438.477
1571286333.819,-157.715,-517.578,-998.535,-117.188,-381.348
1571286333.823,-84.961,-686.035,-1000.000,3.418,-314.941
1571286333.827,-135.254,-578.125,999.512,21.484,-364.258
1571286333.831,-184.082,-385.254,999.512,-5.371,-397.461
1571286333.835,-191.895,-21.484,999.512,-117.676,-375.488
1571286333.839,-191.895,473.145,999.512,-244.629,-312.500
1571286333.843,-193.359,807.617,999.512,-102.051,-335.938
1571286333.846,-253.418,977.051,999.512,-100.098,-395.020
1571286333.850,-280.273,964.844,999.512,-233.887,-336.426
1571286333.854,-236.328,684.082,999.512,-217.285,-216.309
1571286333.858,-389.160,643.066,999.512,-275.879,-141.113
1571286333.862,-535.645,-30.273,999.512,-344.727,-139.648
1571286333.866,-419.922,-975.098,999.512,-292.969,-158.691
1571286333.870,-259.766,-968.750,999.512,-216.797,-40.527
1571286333.874,-284.180,-946.777,999.512,-261.230,46.875
1571286333.878,-416.016,-976.074,999.512,-315.430,-34.180
1571286333.882,-446.289,-970.215,999.512,-274.902,-56.152
1571286333.886,-372.070,-970.215,999.512,-288.086,22.461
1571286333.889,-368.652,-970.215,999.512,-348.633,77.148
1571286333.893,-503.418,-970.215,999.512,-372.559,51.270
1571286333.897,-590.332,-970.215,999.512,-369.141,3.906
1571286333.901,-456.055,-970.215,999.512,-375.977,16.602
1571286333.905,-313.477,-970.215,999.512,-367.676,76.660
1571286333.909,-384.277,-970.215,999.512,-346.191,57.129
1571286333.913,-460.449,-970.215,999.512,-329.102,-31.738
1571286333.917,-420.410,-970.215,999.512,-359.375,-51.270
1571286333.921,-360.352,-972.168,999.512,-378.418,23.926
1571286333.925,-426.270,-958.984,999.512,-358.398,42.969
1571286333.929,-534.180,-977.051,999.512,-363.281,-32.715
1571286333.932,-482.422,-918.945,999.512,-367.676,-89.844
1571286333.936,-395.508,-520.996,999.512,-366.699,-11.230
1571286333.940,-413.086,-273.438,999.512,-341.309,65.430
1571286333.944,-562.012,-405.762,999.512,-384.277,-24.902
1571286333.948,-573.242,-624.023,999.512,-429.199,-98.633
1571286333.952,-462.402,-777.832,999.512,-428.711,-87.891
1571286333.956,-402.832,-767.578,999.512,-400.391,-30.273
1571286333.960,-486.328,-729.492,999.512,-373.535,-83.008
1571286333.964,-527.832,-701.172,999.512,-385.742,-198.730
1571286333.968,-393.066,-591.797,999.512,-373.047,-200.195
1571286333.971,-270.996,-483.398,999.512,-312.988,-133.789
1571286333.975,-351.562,-406.738,999.512,-279.785,-169.434
1571286333.979,-436.035,-290.039,999.512,-274.902,-274.414
1571286333.983,-377.441,-127.930,999.512,-256.348,-296.387
1571286333.987,-258.789,-51.270,999.512,-225.098,-210.938
1571286333.991,-222.656,33.691,999.512,-250.488,-198.730
1571286333.995,-339.355,92.285,999.512,-276.367,-298.828
1571286333.999,-323.242,45.898,999.512,-205.566,-357.422
1571286334.003,-156.250,75.195,999.512,-123.535,-321.289
1571286334.007,-126.465,119.141,999.512,-83.496,-274.414
1571286334.011,-258.789,152.832,999.512,-112.793,-355.957
1571286334.014,-306.641,236.816,999.512,-86.914,-386.719
1571286334.018,-196.289,232.422,999.512,-83.984,-374.512
1571286334.022,-120.117,200.684,999.512,-97.168,-362.793
1571286334.026,-177.734,133.789,999.512,-56.641,-388.672
1571286334.030,-229.004,-10.254,999.512,-65.430,-493.652
1571286334.034,-152.344,-77.637,999.512,-33.691,-519.531
1571286334.038,-71.777,-62.500,-999.023,6.836,-446.289
1571286334.042,-115.234,-37.109,990.723,23.438,-448.242
1571286334.046,-216.309,-56.641,-992.676,15.625,-532.715
1571286334.050,-180.176,-61.035,934.082,-1.465,-572.754
1571286334.054,-58.594,16.602,678.223,35.156,-502.930
1571286334.057,-83.008,100.098,246.094,37.598,-463.867
1571286334.061,-195.801,120.117,-553.223,52.246,-554.688
1571286334.065,-200.195,113.281,-994.629,66.406,-637.695
1571286334.069,-91.797,72.266,-951.172,82.520,-597.656
1571286334.073,-19.531,31.250,-964.844,123.047,-556.641
1571286334.077,-138.672,38.574,-972.168,92.285,-627.930
1571286334.081,-245.117,30.762,-970.215,97.656,-696.289
1571286334.085,-125.000,70.312,-970.215,163.574,-683.105
1571286334.089,-43.457,127.930,-970.215,145.508,-588.867
1571286334.093,-166.504,104.004,-970.215,76.172,-604.492
1571286334.096,-284.180,52.734,-970.215,45.410,-699.707
1571286334.100,-276.367,44.922,-970.215,88.379,-712.402
1571286334.104,-210.938,53.711,-970.215,125.000,-647.949
1571286334.108,-276.367,37.598,-970.215,52.246,-637.207
1571286334.112,-411.133,3.906,-970.215,11.230,-719.727
1571286334.116,-373.047,-7.324,-970.215,60.059,-741.699
1571286334.120,-268.555,44.434,-970.215,84.961,-661.133
1571286334.124,-353.516,75.684,-970.215,59.082,-636.719
1571286334.128,-521.973,67.871,-970.215,27.832,-762.695
1571286334.132,-566.895,83.984,-970.215,37.598,-838.379
1571286334.136,-502.441,60.059,-970.215,89.844,-746.582
1571286334.139,-498.047,4.395,-970.215,101.562,-686.523
1571286334.143,-607.422,50.781,-970.215,48.340,-741.699
1571286334.147,-706.055,239.746,-970.215,62.012,-810.059
1571286334.151,-752.930,468.262,-970.215,115.234,-796.875
1571286334.155,-802.246,706.543,-970.215,120.605,-719.238
1571286334.159,-918.945,872.559,-970.215,122.559,-745.605
1571286334.163,-975.586,864.258,-970.215,129.395,-877.441
1571286334.167,-966.309,746.094,-970.215,148.926,-909.180
1571286334.171,-969.727,822.266,-970.215,227.539,-821.777
1571286334.175,-970.215,997.070,-970.215,245.117,-866.699
