timestamps,TP9,AF7,AF8,TP10,Right AUX
1571287086.487,-299.805,999.512,999.512,-221.191,-101.074
1571287086.491,-149.902,999.512,999.512,-174.316,-50.293
1571287086.495,-88.379,999.512,999.512,-134.766,-7.324
1571287086.499,-237.305,999.512,999.512,-178.711,-21.973
1571287086.503,-308.594,999.512,999.512,-212.891,-26.367
1571287086.507,-175.293,997.559,999.512,-161.621,9.766
1571287086.511,-45.898,999.023,999.512,-71.289,27.832
1571287086.514,-169.922,991.699,999.512,-113.770,24.902
1571287086.518,-340.820,917.480,999.512,-199.707,31.250
1571287086.522,-252.441,823.242,999.512,-160.645,29.785
1571287086.526,-42.480,800.293,999.512,-41.992,-16.602
1571287086.530,-53.223,797.363,999.512,-18.066,3.906
1571287086.534,-211.914,761.719,999.512,-86.914,52.246
1571287086.538,-207.031,785.156,999.512,-86.914,42.480
1571287086.542,-19.043,827.637,999.512,8.301,40.039
1571287086.546,29.297,845.215,999.512,54.688,45.410
1571287086.550,-143.066,883.789,999.512,-30.273,83.496
1571287086.553,-193.359,904.297,999.512,-58.594,32.715
1571287086.557,-30.273,844.727,999.512,27.832,-37.598
1571287086.561,97.168,821.289,999.512,115.723,28.320
1571287086.565,-2.441,871.582,999.512,104.004,45.410
1571287086.569,-123.535,872.070,999.512,33.691,15.137
1571287086.573,-29.297,846.680,999.512,45.410,37.109
1571287086.577,120.117,791.504,999.512,119.629,4.395
1571287086.581,16.113,728.516,999.512,96.191,5.859
1571287086.585,-140.625,691.895,999.512,39.062,12.207
1571287086.589,-53.711,622.070,-998.535,75.195,24.902
1571287086.593,121.582,520.508,989.258,150.879,24.414
1571287086.596,79.102,438.965,-981.445,140.625,38.086
1571287086.600,-111.328,355.469,954.102,48.340,68.848
1571287086.604,-117.676,307.129,815.430,22.949,35.156
1571287086.608,80.566,291.992,944.336,101.074,76.660
1571287086.612,125.488,240.234,-967.773,135.254,71.777
1571287086.616,-150.391,141.113,925.293,3.418,7.812
1571287086.620,-369.141,3.418,772.949,-210.938,-10.742
1571287086.624,-313.477,-97.656,803.223,-287.598,9.277
1571287086.628,-239.258,-127.930,921.387,-254.395,-2.441
1571287086.632,-378.906,-141.113,818.359,-301.270,6.836
1571287086.636,-504.883,-171.387,658.203,-346.191,35.645
1571287086.639,-399.414,-206.543,651.367,-325.195,25.879
1571287086.643,-208.984,-173.340,775.879,-221.191,7.812
1571287086.647,-228.516,-73.242,734.863,-200.195,24.414
1571287086.651,-376.953,-18.555,445.312,-263.184,17.578
1571287086.655,-316.895,15.625,352.051,-205.078,-42.969
1571287086.659,-82.031,48.340,599.121,-64.453,12.207
1571287086.663,-34.180,68.359,702.637,-1.465,63.477
1571287086.667,-171.875,160.156,558.105,-20.996,8.301
1571287086.671,-145.508,295.898,434.082,12.207,8.301
1571287086.675,77.148,325.195,454.102,124.512,22.461
1571287086.678,190.430,301.758,317.383,195.312,17.578
1571287086.682,59.082,305.664,281.738,137.207,20.508
1571287086.686,-19.531,303.223,295.898,109.863,54.688
1571287086.690,108.887,324.707,165.527,177.246,43.457
1571287086.694,240.234,363.281,238.281,256.836,16.113
1571287086.698,131.836,404.297,277.832,217.773,13.672
1571287086.702,3.418,438.965,203.125,141.602,-31.250
1571287086.706,86.426,418.945,-0.977,174.316,-44.434
1571287086.710,262.695,411.621,-62.012,258.789,9.766
1571287086.714,236.328,397.949,262.695,237.305,21.484
1571287086.718,75.195,367.188,207.031,170.410,-11.719
1571287086.721,86.426,367.676,-41.016,178.223,30.762
1571287086.725,270.020,366.211,44.922,234.863,41.992
1571287086.729,296.387,363.281,310.059,258.301,41.992
1571287086.733,106.445,344.727,271.484,195.801,70.312
1571287086.737,60.059,291.992,2.441,163.574,43.457
1571287086.741,238.281,252.441,-133.789,225.586,-22.461
1571287086.745,346.680,238.281,-18.066,268.555,-41.016
1571287086.749,172.363,211.426,-10.742,206.543,-18.066
1571287086.753,25.879,207.031,-417.969,158.691,1.465
1571287086.757,133.789,250.977,-458.008,174.805,15.625
1571287086.761,270.996,267.578,73.242,211.914,-23.926
1571287086.764,183.594,265.625,152.832,200.684,-25.391
1571287086.768,44.434,248.047,-85.938,140.625,6.836
1571287086.772,112.305,253.906,-135.742,156.738,-38.574
1571287086.776,272.949,294.922,77.148,226.074,-15.625
1571287086.780,232.422,300.293,78.613,215.820,-12.207
1571287086.784,74.219,346.680,-143.555,171.387,-18.066
1571287086.788,83.984,458.984,-357.422,167.480,3.418
1571287086.792,246.582,518.555,-297.363,232.422,0.488
1571287086.796,291.016,508.789,-167.969,248.535,54.199
1571287086.800,117.676,497.070,-523.438,165.527,46.387
1571287086.803,46.875,487.305,-638.184,139.648,-77.637
1571287086.807,199.707,471.680,-428.711,206.543,-71.777
1571287086.811,313.477,478.027,-313.477,256.836,-39.062
1571287086.815,182.129,509.277,-260.742,201.660,25.879
1571287086.819,74.219,526.367,-312.012,169.922,41.992
1571287086.823,189.941,520.020,-399.414,196.777,11.230
1571287086.827,328.125,539.551,-254.883,238.770,96.680
1571287086.831,220.215,530.762,-282.715,221.191,39.551
1571287086.835,71.777,538.574,-619.141,164.551,3.906
1571287086.839,129.883,545.898,-766.113,169.434,16.113
1571287086.843,270.020,526.367,-823.730,231.934,10.742
1571287086.846,246.582,511.230,-765.625,226.562,-6.836
1571287086.850,95.215,469.727,-596.680,177.246,-41.504
1571287086.854,84.961,434.082,-756.348,178.223,35.645
1571287086.858,254.883,397.461,-755.859,232.422,108.398
1571287086.862,324.707,356.445,-547.363,255.371,44.922
1571287086.866,150.391,330.566,-623.535,203.125,12.207
1571287086.870,60.059,317.871,-892.578,157.227,1.953
1571287086.874,205.566,278.809,-969.727,180.176,-14.648
1571287086.878,310.059,247.070,-767.578,212.891,20.020
1571287086.882,119.629,216.797,-825.195,129.883,9.277
1571287086.886,-62.012,211.426,-981.934,46.875,-23.438
1571287086.889,42.480,252.930,-987.793,98.145,-52.734
1571287086.893,226.074,258.301,-853.516,160.156,-67.383
1571287086.897,172.852,224.609,-643.066,149.414,2.441
1571287086.901,8.789,184.082,-823.730,77.637,1.953
1571287086.905,40.039,150.879,-990.723,59.082,-5.859
1571287086.909,226.562,138.184,-767.090,143.066,43.457
1571287086.913,239.258,187.988,-643.555,167.480,19.043
1571287086.917,53.223,223.633,-834.961,114.258,-35.645
1571287086.921,21.973,188.477,-882.324,97.168,14.160
1571287086.925,197.266,180.664,-778.320,134.766,-10.742
1571287086.928,261.230,184.570,-730.469,161.133,5.371
1571287086.932,86.914,168.457,-866.699,108.887,20.020
1571287086.936,-6.836,179.688,-987.305,47.852,-12.207
1571287086.940,120.605,182.129,-894.531,92.285,7.324
1571287086.944,246.094,160.645,-804.199,162.109,-35.645
1571287086.948,129.883,146.484,-899.414,127.930,0.977
1571287086.952,-13.672,159.180,-979.492,75.195,9.766
1571287086.956,52.734,160.645,-966.309,94.727,-0.488
1571287086.960,212.891,134.766,-952.148,145.508,59.570
